county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
1001,91.1,2.62,5.6,37.8,48.8,76.9,18.5,0.4,0.8,2.6,1.3,87.6,53.3,26836,12.3,32.532237,-86.64644,0.072662537
1003,88.2,2.62,6.3,42.3,48.8,86.4,9.3,0.7,0.7,4.4,1.9,90,61.3,25961,13,30.659218,-87.746067,0.190466643
1005,87,2.6,12.8,38.7,53.5,46.7,47.9,0.2,0.5,4.3,2.2,73.8,38.9,17498,26.4,31.870253,-85.405104,0.037574209
1007,91,2.92,7.1,40.2,53.5,77,21.2,0.4,0.1,2.2,1.3,80.7,38.9,21190,16.5,33.015893,-87.127148,0.044302676
1009,88.8,2.77,6,40.8,49.5,95.4,1.6,0.3,0.2,8.7,3.5,79.9,47,25143,16.5,33.977358,-86.56644,0
1011,83.3,2.84,13.3,39.2,54.2,21.8,75.5,0.8,0.8,0.1,1.1,66.6,32.5,17657,26.9,32.101759,-85.717261,0.189537528
1013,88.2,2.6,9.8,40.6,47,53.6,43.8,0.1,1,1.2,1.3,81.1,41.2,19658,25.7,31.751667,-86.681969,0.049309665
1015,89.1,2.51,11.7,39.1,48.1,74.9,20.5,0.3,0.9,3.4,1.3,82.4,50.3,21288,19.6,33.771706,-85.822513,0.155329082
1017,88.2,2.42,7.5,43.1,47.9,57.1,40.5,0.2,0.9,0.4,0.6,80.2,40.8,21105,20.3,32.915504,-85.394032,0
1019,90.5,2.32,5.9,45.7,49.7,93.3,4.7,0.6,0.4,1.6,0.2,81.3,45.3,21159,16.4,34.069515,-85.654242,0
1021,84.2,2.61,7.9,38.7,49.2,83.8,10.1,0.3,0.4,7.6,3.9,80.1,38.8,23507,20.3,32.854051,-86.726607,0.022822192
1023,88.5,2.36,13.6,45.1,47.8,56.4,42.6,0,0,0.6,0,78.8,41.5,17760,21,31.990954,-88.248889,0
1025,86.7,2.56,17.1,42,47.2,53.3,45.5,0,0.5,0.2,0.7,81,35.9,20261,24.6,31.685521,-87.818624,0
1027,87.1,2.47,6.6,43.7,48.4,82.9,14.8,0.9,0,3.1,0.7,74.6,40,20852,16.7,33.2704,-85.863525,0.07416747
1029,86.2,2.54,7.2,41.5,49.5,94.6,2.4,0.1,0.6,2.3,1.2,74.2,36.2,19865,19.6,33.671964,-85.516126,0
1031,89.3,2.6,6.2,39.3,49.4,76.4,17.2,0.8,1.2,6.6,2.8,85.1,55.8,24138,16.4,31.402258,-85.989602,0.078445216
1033,90.9,2.44,7.5,42.4,48.3,79.8,15.7,0.6,0.5,2.4,0.5,83.4,48.6,22646,16.5,34.703112,-87.801457,0.091950641
1035,80.9,2.48,20.4,44,47.5,51.9,46.3,0.1,0.1,1.8,0.9,79.4,33.2,16515,32.5,31.430926,-86.988722,0
1037,87.4,2.5,12.6,44.9,49.3,66.3,32.4,0.1,0,1.3,1.4,73,36.7,17110,15.3,32.931445,-86.243482,0
1039,87.6,2.45,10.7,42.9,48.3,84.5,13.1,0.3,0.5,1.5,0.8,80.9,46.5,21209,19,31.243987,-86.448721,0.106019242
1041,88.7,2.53,7.4,41.6,49.4,71.5,23.8,0.9,1.7,1.7,2.1,78.2,39.7,20670,18.2,31.732826,-86.319222,0
1043,85.5,2.58,6.1,40.5,49.4,95.9,1.1,0.5,0.6,4.2,2,82.1,47,22352,17.1,34.131923,-86.869267,0.135274731
1045,86.9,2.58,10.4,36.9,49.3,74.4,19.7,0.6,1,5.9,1.2,85.9,52.8,22922,20.5,31.430654,-85.609476,0.282218235
1047,87.5,2.54,14.9,38.9,46.2,28.7,69.5,0.2,0.4,1,0.3,79.1,42.6,17272,34.3,32.33354,-87.114356,0.120697147
1049,84,2.82,6.3,39.3,49.5,87.2,1.5,1.4,0.3,14,5.7,72.6,38.3,20342,19.8,34.460929,-85.803992,0.042291047
1051,91.2,2.64,7.5,38.3,48.6,75.4,21.4,0.3,0.6,2.8,1.5,86.7,51.3,26428,14.3,32.597229,-86.142735,0.037056709
1053,82.4,2.61,15.2,39.9,51.2,61.9,32.4,3.5,0.1,2.1,0.4,80.4,37,18703,25.2,31.122287,-87.16841,0.105610561
1055,87.9,2.58,8.5,40.9,48.4,81.3,15.4,0.5,0.7,3.6,2.2,82.4,49.9,21240,18.4,34.047641,-86.034263,0.193492836
1057,91.6,2.4,8.8,43.6,49.5,85.6,12.5,0,0.3,0.9,0,79.2,40.2,18836,17.3,33.716157,-87.764292,0
1059,85.9,2.67,9.7,39.1,49.3,89.1,4.5,1,0.3,16,9.8,75.7,39,20457,22.3,34.441989,-87.842814,0.095017895
1061,85.3,2.49,10.3,42,48.8,86.8,9.6,0.5,0.4,3.7,1.4,77.8,41.8,20020,22.8,31.092382,-85.821022,0
1063,86,2.75,18.2,41.3,47.7,17.1,81.3,0.4,0.2,0.6,0,77,36,14037,37.9,32.844497,-87.9642,0
1065,88.9,2.51,12.1,39.7,47,40,58.3,0.3,0.1,1.2,1.1,81.4,38.6,18697,25.9,32.752796,-87.623061,0.065967412
1067,88.5,2.48,7.5,43.2,48.3,70.5,27.9,0,0,2.5,1.1,80.6,44.5,21188,15.3,31.516978,-85.239971,0.116367022
1069,87.9,2.61,8.1,39.3,47.9,69.6,26.6,0.4,0.8,3.2,1.4,84.9,52.8,22190,18.9,31.158183,-85.296411,0.462022697
1071,88.1,2.6,8.6,42.8,49,91.1,3.3,0.9,0.4,2.7,0.8,79.5,38.4,21401,18.8,34.764114,-85.980056,0
1073,89.1,2.46,8.2,37.5,47.3,52.4,42.5,0.2,1.5,3.7,2.5,89,62.5,25727,18.1,33.553444,-86.896536,0.743442533
1075,87.3,2.31,9.5,44.3,48.4,87.6,11.3,0.3,0,1.4,0.9,77.4,42,19151,23.9,33.787085,-88.087431,0
1077,89,2.36,7.6,41.3,47.8,87,9.9,0.4,0.7,2.4,1,84.9,50.3,23199,18.3,34.904122,-87.650997,0.291447631
1079,89,2.49,8.3,42.2,48.7,78.1,11.4,4.9,0.1,2.1,0.5,77.7,37.8,22667,18.3,34.529776,-87.321865,0.029910567
1081,90.5,2.56,6.1,30.5,49.4,69.9,23.2,0.1,3.6,3.7,2.9,88.7,64.2,22826,23,32.604064,-85.353048,0.409231749
1083,87.5,2.72,7.9,39,50,81.5,12.7,0.6,1.2,5.7,2.4,83.1,51.1,26324,14.1,34.810239,-86.981399,0.055397365
1085,87.3,2.47,12.3,40.4,47.8,24.7,74.6,0.1,0,0.5,0.1,74.9,37.2,17748,28.7,32.147888,-86.650586,0
1087,89.2,2.2,15,38.2,46.1,15.8,82.1,0.3,0.2,1.6,0.4,80.4,49.2,16826,25.5,32.387027,-85.692887,0.914448283
1089,89.7,2.44,7.3,38.1,48.9,68.8,24.2,0.6,2.4,4.7,2.7,90.8,69.9,30232,13.3,34.764238,-86.55108,0.371457227
1091,87.8,2.43,14.1,42.2,47,45.7,52.8,0.2,0.2,0.9,0.3,83.8,43.6,18665,27.8,32.247591,-87.791091,0.099671085
1093,90.4,2.37,7.6,43.9,49.5,93.4,3.3,0.4,0.3,2.4,0.9,79.9,44.9,19222,18.6,34.138219,-87.881551,0
1095,84.6,2.71,7.2,38.8,49.3,92.5,2.1,0.6,0.6,12.9,6.7,78.6,46.7,21065,20.5,34.309564,-86.321668,0.052891023
1097,86.8,2.62,8.7,37.2,47.9,59.6,35.3,0.6,2,2.6,1.9,85.9,53.3,23507,19.5,30.684572,-88.196568,0.386201969
1099,83.6,2.61,21.8,41.5,47.9,54.9,42.8,1.1,0.2,0.6,0.2,82.1,37,19105,32.1,31.580332,-87.383266,0
1101,87.9,2.44,8.4,36,47.4,37.8,56.8,0.2,2.2,3.3,2.7,85.6,60.2,25006,21.3,32.202881,-86.204461,0.382599212
1103,87.4,2.55,8.9,39.8,49.2,81.9,12.2,0.7,0.7,7.8,3.8,82.5,52.4,23834,16.3,34.454484,-86.846402,0.200744427
1105,84.6,2.84,11.7,37.1,47.4,30.1,68.6,0,0.2,1,0.5,76.4,36.9,14921,39.8,32.639005,-87.293827,0
1107,88.9,2.5,12.3,42.2,49.3,56.2,41.8,0.1,0.1,2.4,1.4,81.1,41.2,18295,23.9,33.296793,-88.096863,0
1109,89.4,2.45,9.7,31.2,47.7,58.3,37.6,0.6,2.1,2.2,3.2,80,47.3,19334,25.7,31.798651,-85.941604,0.030050786
1111,88.1,2.55,8,42.8,48.8,77.2,19.6,0.3,0.2,2.9,0.2,77.3,40.9,21557,20.6,33.296475,-85.464068,0.044218439
1113,84.8,2.6,9.4,34.8,48.6,51.8,42.3,0.4,0.7,5.1,1.5,82.6,51.4,22417,21.5,32.289811,-85.18698,0.034108739
1115,91,2.65,6.4,40,50.2,87.5,9.4,0.3,0.9,2.3,1,83.5,47.4,26217,13.7,33.712963,-86.315663,0.02310109
1117,91.8,2.67,4.6,38.1,48.6,81.2,11.6,0.2,2,5.8,3,91.5,70.5,33464,8.5,33.263043,-86.678089,0.267053814
1119,81.8,2.55,15.3,36.5,46.2,24.7,71.7,0.3,2.8,0.3,2.1,80.1,38.5,14310,36.7,32.597481,-88.200057,0
1121,88.9,2.47,12,40.8,48.5,64.6,32.1,0.3,0.5,2.2,1.1,79.8,44.1,20167,20.8,33.369314,-86.17593,0.04934799
1123,89.3,2.47,9.8,43,47.4,70.3,27.5,0.4,0.5,2.4,0.7,79.7,44.4,22383,23.4,32.863369,-85.799553,0.122076273
1125,90.3,2.73,7,32.1,48.2,65.4,31,0.1,1.5,3.3,2.2,88.1,57.8,22288,18,33.29022,-87.522783,0.587738491
1127,87.4,2.57,11,42.3,48.7,91.4,5.8,0.1,0.5,2.3,1,78.5,41.9,19960,21.9,33.791558,-87.301094,0.121964234
1129,86.3,2.74,16.1,41.4,49.6,65.5,24.8,7.9,0.7,1.3,1.1,79.8,34,20240,21.6,31.405217,-88.197564,0
1131,84.8,2.86,20.4,40.2,48.2,27.4,71.9,0.1,0,0.6,0.1,79.8,34.9,16051,34.9,31.990082,-87.304935,0
1133,87.1,2.51,8.7,44.1,49.2,96.6,0.4,0.7,0.3,2.9,1.4,76,41.7,18754,20.6,34.154607,-87.36529,0
2013,48,2.36,2.6,42.8,65,19.1,7,33.9,29.5,10,32.4,84.3,42.3,26243,15.5,55.245044,-161.997477,0
2016,78.7,3.47,1.1,37.6,62.6,30.9,5.5,13,36.5,13.8,21.4,87.5,47.2,30935,7.7,51.948964,179.621188,0
2020,85.5,2.77,6,32.8,51,64.3,5.7,7,8.9,8.7,6.1,93.3,69.3,35872,8.1,61.17425,-149.284329,1.025654732
2050,74.9,3.79,19.3,26.8,52.3,11,0.8,81.9,0.9,2,17.3,81,35.6,14862,26.6,60.929141,-160.152625,0.167738328
2060,79.6,2.48,5.7,40.7,56.9,55.7,0.3,32.1,1.2,4.9,0.7,92.6,57.8,42171,7.3,58.741615,-156.966992,0
2068,76.8,2.29,1.2,37.3,53.7,85.5,1,3.1,3.4,0.8,2,96.2,72.8,32128,11.3,63.681106,-150.026544,0
2070,74.2,3.43,11.2,29.7,51.5,17.9,0.2,72.2,2.2,3,6,86.9,50,19773,16.5,59.543326,-158.267123,0.200803213
2090,88.4,2.72,8.5,30.7,53.7,76.5,4.2,6.5,3,7.5,2.7,94.4,72.2,34705,7.8,64.692317,-146.601733,0.968547179
2100,76.7,2.11,3.8,44.6,56.5,77.9,0,4.9,3.4,1.6,0.9,95.5,69.8,28534,5.3,59.098404,-135.575791,0
2105,74,2.35,10.2,48.4,51.4,50.8,3.7,32.2,2.3,5,3.5,90.6,56.7,27750,12.3,58.253462,-136.320731,0
2110,87.7,2.62,4.9,37.5,51.2,69.4,1.2,12.3,7.2,6.3,3.9,95.7,74.5,40890,7.4,58.643523,-134.281167,0.522690936
2122,79.8,2.6,8.7,40.5,52.2,83.6,0.6,7.5,1.3,3.8,1.8,92.8,60.6,29068,11,60.366668,-152.322283,0.22554956
2130,84.5,2.58,7.6,39.2,51.3,67.5,0.5,13.4,7.6,4.6,4,92,60.3,30743,10.8,55.449938,-131.106685,0.510390084
2150,77.3,2.96,3.6,32.7,52.7,54,0.1,13.7,21.9,8.7,12,90.6,63.3,32173,9.2,57.7044,-153.918372,0.215548211
2158,74,4.52,26.4,23.3,53.3,3.9,0.6,89.2,0.4,1.3,5.9,78.4,26.2,10693,36,62.283588,-163.190171,0
2164,66.1,2.84,11.7,31.9,51,21.3,0.8,69.2,2.8,2.1,4.2,86.3,43.8,19000,18.8,58.108674,-156.414001,0
2170,82.6,3.14,9.9,34.8,52.2,83.7,1.1,5.2,1.3,4.5,1.6,92.4,60.6,27988,9.7,62.279075,-149.617562,0.385086999
2180,73.2,3.3,17.4,27.7,53.8,16.4,0.8,72.6,1.3,2.1,6.1,84.9,41.8,17646,27,64.783686,-164.188912,0.607348922
2185,75.1,3.25,10,33.8,63.2,32.5,0.6,51.9,6,3.8,8.3,88.2,50.4,48667,11.2,69.449343,-153.47283,0.103295114
2188,68.9,3.93,22.6,26.3,54.1,11.5,0.6,82.2,0.8,2.1,5.2,79.1,34.1,17332,24.5,67.005066,-160.021086,0.388450084
2195,84.4,2.47,5.8,40.8,53.6,74.8,2.3,7.5,4.5,10.4,5.4,92.4,58.7,27923,9.3,57.112458,-133.008598,0
2198,68.8,2.77,13.6,40.5,54,46.1,0.2,41.6,1.1,3.5,0.3,90.4,51.3,21975,14.9,55.682773,-133.162389,0
2220,81.4,2.46,4.5,39.1,51.2,64.4,2.2,13.5,6.9,6.2,5,92.6,66.9,35408,9,57.193204,-135.367396,1.008855509
2230,76.6,2.07,6.7,44.1,53.4,80.4,1.1,5.8,7.5,6.3,3.2,96.5,71.6,35625,5.3,59.575097,-135.335418,0
2240,78.2,3.15,9.4,36.4,55.6,78.1,1.4,11,1.8,5.1,9,90.7,57.3,27394,13.6,63.864997,-143.218628,0
2261,79.1,3.14,9,37.6,53.2,73.8,0.1,14.9,3.7,4.7,2.7,92.8,65.5,30804,8.5,61.34984,-145.023141,0.630119723
2275,81.9,2.25,7.2,48.8,50.7,67.5,0.3,19.2,3.5,3,2.8,88.2,53.9,26087,9.9,56.317416,-132.343978,0
2282,81,2.34,7.1,40.5,53.6,44.9,1.1,31.1,5.9,2.8,5.6,94.4,53.6,33641,7.9,59.963024,-141.761587,0
2290,64.7,2.75,18.4,35.2,54,22.3,0.4,70.3,0.7,1.9,2,82.8,42.9,16732,23.5,65.375718,-151.577873,0.178571429
4001,76.4,3.67,15.8,33.5,49.4,22.5,0.5,73.2,0.4,5.9,13,78.3,44.8,18001,36.2,35.385084,-109.490172,0.304094214
4003,89.9,2.38,8.6,40.3,50.9,82.8,4,1.2,1.8,34.4,9.9,86.6,63.4,22355,18.9,31.840129,-109.775163,0.257456486
4005,83.6,2.67,8.2,30.7,49.4,63.3,1.5,26.8,1.8,13.7,5.9,88.9,67.3,22646,22.2,35.829692,-111.773728,0.876405145
4007,86,2.44,12.1,48.9,49.7,78.6,0.6,15.5,0.8,18.5,4.2,84.3,55.6,21256,21.2,33.789618,-110.81187,0.225652983
4009,88.7,3.04,14.4,32.4,53.7,78.9,2,13.2,0.7,32.1,5.7,85.4,52.5,23528,22.5,32.931828,-109.87831,0.106584242
4011,88.5,2.77,8.9,33.3,53.2,90.3,1.9,3.8,0.6,46.5,4.4,87.9,51.1,29080,13.4,33.238872,-109.242323,0
4012,87.8,2.18,10.6,55.1,51.1,75.2,0.4,13.2,0.7,26.2,7.6,75.1,38.7,19137,21.1,33.72761,-114.038806,0.049251379
4013,86.3,2.75,6.8,35.8,49.5,78.6,5.3,1.9,3.8,30.3,9.3,86.9,64,29426,16.5,33.346541,-112.495534,0.661848494
