county,Latitude,Longitude,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad,% Some College,% Bachelors,% Graduate Degree,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
1001,32.5006486275,-86.44918991,53944,2.68,7.5,36.4,48.5,78.9,18.1,0.2,0.7,0.0,0.5,1.5,2.4,13.5,35.0,29.8,14.8,6.9,27807.0,10.9,4,0.074150971377725
1003,30.5041757807895,-87.8252634528947,179523,2.5,7.7,41.4,48.8,86.4,9.4,0.6,0.7,0.0,1.5,1.4,4.1,12.1,29.1,31.5,18.4,8.8,25937.0,12.5,38,0.211672042022471
1005,31.89501875,-85.14413443,27546,2.57,13.0,38.3,53.2,49.3,45.9,0.3,0.5,0.0,1.8,2.1,4.9,27.6,33.0,25.5,7.8,6.1,15715.0,24.7,1,0.0363029114935018
1007,32.95454084,-87.11483278,22746,3.05,9.6,39.1,52.1,76.7,22.7,0.3,0.1,0.0,0.0,0.2,1.6,24.1,41.9,24.1,7.7,2.1,20878.0,15.7,1,0.0439637738503473
1009,,,57140,2.7,9.1,38.8,49.6,95.3,1.4,0.6,0.1,0.0,1.3,1.3,7.8,26.8,36.0,25.9,7.2,4.1,22529.0,13.7,0,0
1011,32.144612,-85.698473,10877,2.78,15.5,41.2,54.7,28.6,70.0,0.2,0.0,0.2,0.0,1.0,6.3,28.0,34.7,22.9,8.7,5.7,18583.0,26.0,2,0.183874230026662
1013,31.828455,-86.646194,20860,2.55,12.1,40.0,46.9,54.8,43.6,0.1,0.8,0.0,0.0,0.7,0.4,25.3,37.4,25.0,8.5,3.9,18044.0,25.7,1,0.0479386385426654
1015,33.6961063927778,-85.7986816277778,117614,2.5,12.0,38.4,48.1,75.2,20.5,0.3,0.6,0.1,1.5,1.8,3.2,22.1,33.7,28.3,9.7,6.1,19529.0,20.4,18,0.153043005084429
1017,,,34375,2.5,14.9,40.6,47.4,59.1,39.2,0.0,0.4,0.0,0.1,1.0,1.6,25.8,36.4,27.3,6.7,3.8,17515.0,21.0,0,0
1019,,,25819,2.2,12.9,44.2,50.0,92.8,5.0,0.7,0.2,0.0,0.4,1.0,1.3,26.5,34.5,27.7,6.5,4.8,20788.0,20.8,0,0
1021,32.89825119,-86.73575405,43444,2.65,11.1,37.3,49.3,87.4,9.6,0.6,0.2,0.0,0.9,1.2,7.0,25.2,38.1,24.3,7.7,4.7,21680.0,17.4,1,0.0230181382929749
1023,,,13953,2.67,16.2,43.6,48.0,55.5,43.1,0.0,0.3,0.0,0.0,1.1,0.3,26.4,39.3,23.8,6.3,4.2,15695.0,20.5,0,0
1025,,,26046,2.83,14.5,39.7,48.3,55.0,41.7,1.9,0.4,0.0,0.2,0.8,1.1,21.9,40.4,24.5,8.3,4.9,16749.0,27.2,0,0
1027,33.1541,-86.01785,14010,2.35,10.9,41.7,48.8,81.6,15.8,0.1,0.0,0.0,1.1,1.3,2.7,27.2,38.4,25.4,6.4,2.7,21005.0,18.7,1,0.0713775874375446
1029,,,14881,2.67,12.5,40.6,49.7,94.6,3.7,0.3,0.0,0.0,0.1,1.3,2.0,27.0,39.3,24.3,5.6,3.8,18456.0,16.8,0,0
1031,31.3230905,-85.837172,49221,2.58,7.3,37.7,49.1,77.5,17.4,0.9,1.1,0.0,0.7,2.4,5.9,19.8,28.7,30.2,13.3,8.0,23599.0,17.7,4,0.0812661262469271
1033,34.754498352,-87.688324796,54478,2.41,8.5,41.7,48.1,80.9,16.1,0.6,0.4,0.0,0.6,1.4,2.0,19.2,33.7,29.6,11.0,6.3,21072.0,16.5,5,0.091780168141268
1035,,,13286,2.8,19.5,43.1,49.3,51.7,44.4,1.0,0.0,0.0,0.0,2.8,0.2,27.3,38.4,22.8,6.3,5.2,16009.0,28.0,0,0
1037,,,11303,2.34,13.8,43.7,51.1,67.3,31.8,0.0,0.0,0.0,0.1,0.8,1.7,23.8,44.9,21.8,5.0,4.5,20061.0,18.8,0,0
1039,31.20515453,-86.4147396625,37736,2.53,9.6,42.1,48.6,84.7,12.5,0.6,0.3,0.0,0.7,1.1,1.3,23.4,35.7,28.0,8.0,4.9,18206.0,21.6,4,0.105999576001696
1041,,,13938,2.44,9.3,39.7,48.7,73.0,22.5,0.7,1.3,0.0,0.0,2.5,1.4,23.9,36.9,27.6,6.9,4.7,20096.0,16.9,0,0
1043,34.1891060872727,-86.8111005381818,80246,2.52,8.8,39.9,49.6,95.8,1.0,0.6,0.5,0.0,0.6,1.4,4.1,23.4,32.7,29.8,8.8,5.4,20746.0,17.6,11,0.137078483662737
1045,31.3435930307143,-85.6943995014286,49920,2.48,8.5,36.0,49.4,74.9,19.8,0.3,1.4,0.1,0.9,2.7,5.4,16.9,30.1,35.4,11.6,5.9,23712.0,15.5,14,0.280448717948718
1047,32.414702588,-87.048610664,43868,2.56,17.1,36.9,46.0,29.6,68.9,0.1,0.4,0.0,0.5,0.6,0.7,23.8,35.8,26.8,8.0,5.6,16527.0,34.7,5,0.11397829853196
1049,34.4748260933333,-85.6861878566667,70608,2.66,9.9,37.3,49.6,91.6,1.7,1.5,0.3,0.0,3.0,2.0,12.9,29.7,34.5,25.0,6.0,4.7,19689.0,19.8,3,0.0424881033310673
1051,32.5424565433333,-86.16977325,78641,2.59,8.8,37.6,49.1,75.9,20.0,0.4,0.5,0.0,1.6,1.6,2.6,15.1,33.8,29.9,14.1,7.2,25119.0,12.4,3,0.0381480398265536
1053,31.106817865,-87.2811504725,38081,2.53,11.7,38.6,51.4,63.0,31.7,3.7,0.4,0.0,0.4,0.8,1.9,26.3,35.2,26.7,8.0,3.8,18874.0,23.7,4,0.105039258422836
1055,34.007107095,-86.0037021515,104216,2.49,10.2,39.9,48.4,82.1,15.1,0.3,0.6,0.1,0.3,1.4,3.2,18.3,32.2,34.1,9.3,6.0,20708.0,18.0,20,0.19190911184463
1057,,,17361,2.35,7.0,42.7,48.9,86.7,11.1,0.2,0.4,0.0,0.0,1.6,1.1,25.4,38.4,25.3,6.5,4.4,18368.0,19.7,0,0
1059,34.5244926566667,-87.7447406566667,31532,2.52,8.1,38.5,48.9,88.2,4.3,0.5,0.1,0.0,5.9,1.0,14.0,28.4,34.5,25.7,7.5,3.9,19538.0,20.1,3,0.0951414436128378
1061,,,26646,2.42,8.7,41.8,48.6,87.5,9.6,0.2,0.1,0.0,1.1,1.5,3.3,25.4,37.0,27.3,6.7,3.6,18479.0,19.1,0,0
1063,,,9170,2.72,21.3,41.5,47.5,17.9,81.7,0.2,0.0,0.0,0.0,0.2,0.0,27.0,37.6,24.8,6.1,4.4,15746.0,31.7,0,0
1065,32.66477,-87.55722,15972,2.66,15.4,39.5,47.7,39.9,59.1,0.2,0.4,0.0,0.0,0.4,0.3,29.0,35.0,26.0,6.8,3.2,16439.0,25.9,1,0.0626095667417981
1067,31.36326001,-85.319670225,17240,2.51,13.0,42.5,48.2,68.6,28.1,0.0,2.3,0.0,0.5,0.4,2.1,23.6,36.4,25.2,9.3,5.5,20839.0,15.2,2,0.116009280742459
1069,31.2163968716667,-85.411078330625,100310,2.57,7.4,38.2,48.0,70.2,25.4,0.4,0.8,0.0,1.4,1.7,2.8,17.1,34.1,29.9,11.9,6.9,21997.0,17.1,48,0.478516598544512
