county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
1001,32.50064863,-86.44918991,91.1,55049,2.62,5.6,37.8,48.8,76.9,18.5,0.4,0.8,0.1,1.4,2,2.6,12.4,34.3,53.3,26836,12.3,4,0.072662537
1003,30.50417578,-87.82526345,88.2,199510,2.62,6.3,42.3,48.8,86.4,9.3,0.7,0.7,0,0.9,2,4.4,10,28.7,61.3,25961,13,38,0.190466643
1005,31.89501875,-85.14413443,87,26614,2.6,12.8,38.7,53.5,46.7,47.9,0.2,0.5,0,4.1,0.6,4.3,26.2,34.9,38.9,17498,26.4,1,0.037574209
1007,32.95454084,-87.11483278,91,22572,2.92,7.1,40.2,53.5,77,21.2,0.4,0.1,0,0,1.4,2.2,19.3,41.8,38.9,21190,16.5,1,0.044302676
1009,,,88.8,57704,2.77,6,40.8,49.5,95.4,1.6,0.3,0.2,0,0.9,1.6,8.7,20,32.9,47,25143,16.5,0,0
1011,32.144612,-85.698473,83.3,10552,2.84,13.3,39.2,54.2,21.8,75.5,0.8,0.8,0,0,1.1,0.1,33.4,34.1,32.5,17657,26.9,2,0.189537528
1013,31.828455,-86.646194,88.2,20280,2.6,9.8,40.6,47,53.6,43.8,0.1,1,0,0.2,1.3,1.2,18.9,39.9,41.2,19658,25.7,1,0.049309665
1015,33.69610639,-85.79868163,89.1,115883,2.51,11.7,39.1,48.1,74.9,20.5,0.3,0.9,0,1.1,2.3,3.4,17.7,32.1,50.3,21288,19.6,18,0.155329082
1017,,,88.2,34018,2.42,7.5,43.1,47.9,57.1,40.5,0.2,0.9,0,0.1,1.1,0.4,19.7,39.4,40.8,21105,20.3,0,0
1019,,,90.5,25897,2.32,5.9,45.7,49.7,93.3,4.7,0.6,0.4,0,0,1,1.6,18.7,36,45.3,21159,16.4,0,0
1021,32.89825119,-86.73575405,84.2,43817,2.61,7.9,38.7,49.2,83.8,10.1,0.3,0.4,0,4.3,1,7.6,19.9,41.3,38.8,23507,20.3,1,0.022822192
1023,,,88.5,13287,2.36,13.6,45.1,47.8,56.4,42.6,0,0,0,0,0.9,0.6,21.1,37.3,41.5,17760,21,0,0
1025,,,86.7,24847,2.56,17.1,42,47.2,53.3,45.5,0,0.5,0.1,0,0.5,0.2,19,45.1,35.9,20261,24.6,0,0
1027,33.1541,-86.01785,87.1,13483,2.47,6.6,43.7,48.4,82.9,14.8,0.9,0,0,0.5,0.9,3.1,25.4,34.6,40,20852,16.7,1,0.07416747
1029,,,86.2,14991,2.54,7.2,41.5,49.5,94.6,2.4,0.1,0.6,0,0.4,2,2.3,25.8,38,36.2,19865,19.6,0,0
1031,31.3230905,-85.837172,89.3,50991,2.6,6.2,39.3,49.4,76.4,17.2,0.8,1.2,0,1,3.3,6.6,14.9,29.3,55.8,24138,16.4,4,0.078445216
1033,34.75449835,-87.6883248,90.9,54377,2.44,7.5,42.4,48.3,79.8,15.7,0.6,0.5,0.1,1.1,2.3,2.4,16.6,34.8,48.6,22646,16.5,5,0.091950641
1035,,,80.9,12697,2.48,20.4,44,47.5,51.9,46.3,0.1,0.1,0,0,1.5,1.8,20.6,46.2,33.2,16515,32.5,0,0
1037,,,87.4,10864,2.5,12.6,44.9,49.3,66.3,32.4,0.1,0,0,0,1.3,1.3,27.1,36.3,36.7,17110,15.3,0,0
1039,31.20515453,-86.41473966,87.6,37729,2.45,10.7,42.9,48.3,84.5,13.1,0.3,0.5,0.1,0.4,1.1,1.5,19.1,34.4,46.5,21209,19,4,0.106019242
1041,,,88.7,13896,2.53,7.4,41.6,49.4,71.5,23.8,0.9,1.7,0,1.3,0.8,1.7,21.7,38.5,39.7,20670,18.2,0,0
1043,34.18910609,-86.81110054,85.5,81316,2.58,6.1,40.5,49.4,95.9,1.1,0.5,0.6,0,0.8,1.1,4.2,17.8,35.1,47,22352,17.1,11,0.135274731
1045,31.34359303,-85.6943995,86.9,49607,2.58,10.4,36.9,49.3,74.4,19.7,0.6,1,0,1.2,3,5.9,14.2,33.1,52.8,22922,20.5,14,0.282218235
