county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
1001,94.78,79.85,38.06,70.90,87.31,75.37,20.15,26.12,52.99,14.18,54.48,73.88,94.78,41.04,75.37,45.52,9.70
1003,88.81,70.90,39.55,50.00,94.78,17.16,0.75,75.37,85.82,45.52,81.34,88.81,3.73,84.33,42.54,17.16,14.18
1005,24.63,35.07,91.79,97.76,14.18,78.36,67.91,64.93,97.76,93.28,3.73,44.03,18.66,5.22,54.48,66.42,3.73
1007,63.43,15.67,64.93,96.27,91.79,99.25,8.21,61.94,79.85,21.64,17.16,42.54,41.04,57.46,97.76,32.09,72.39
1009,93.28,14.18,79.85,41.04,47.01,79.85,9.70,14.18,35.07,27.61,66.42,33.58,38.06,17.16,12.69,78.36,99.25
1011,8.21,26.12,94.78,99.25,51.49,94.78,87.31,76.87,81.34,97.76,99.25,79.85,76.87,52.99,5.22,9.70,70.90
1013,29.10,76.87,47.01,54.48,41.04,42.54,30.60,60.45,47.01,3.73,87.31,20.15,26.12,35.07,78.36,41.04,17.16
1015,58.96,60.45,44.03,55.97,26.12,44.03,76.87,35.07,17.16,70.90,9.70,8.21,61.94,93.28,20.15,63.43,20.15
1017,33.58,58.96,11.19,79.85,5.22,26.12,82.84,41.04,33.58,57.46,94.78,32.09,32.09,29.10,99.25,52.99,67.91
1019,72.39,21.64,0.75,75.37,21.64,38.06,88.81,63.43,54.48,78.36,27.61,38.06,2.24,30.60,96.27,44.03,93.28
1021,64.93,24.63,88.81,32.09,36.57,21.64,21.64,69.40,50.00,52.99,61.94,91.79,96.27,0.75,91.79,75.37,6.72
1023,20.15,50.00,3.73,17.16,66.42,55.97,27.61,67.91,96.27,60.45,75.37,60.45,57.46,90.30,14.18,93.28,58.96
1025,15.67,61.94,36.57,26.12,82.84,47.01,5.22,70.90,58.96,51.49,72.39,0.75,99.25,39.55,52.99,82.84,57.46
1027,45.52,9.70,21.64,69.40,18.66,20.15,70.90,33.58,29.10,32.09,88.81,84.33,67.91,72.39,17.16,73.88,97.76
1029,54.48,8.21,45.52,81.34,2.24,33.58,81.34,91.79,3.73,29.10,63.43,57.46,87.31,51.49,36.57,29.10,47.01
1031,87.31,69.40,67.91,76.87,73.88,15.67,26.12,45.52,90.30,30.60,52.99,41.04,5.22,48.51,57.46,85.82,38.06
1033,70.90,44.03,6.72,11.19,75.37,85.82,73.88,47.01,55.97,61.94,48.51,72.39,45.52,58.96,58.96,90.30,15.67
1035,3.73,41.04,61.94,14.18,39.55,2.24,3.73,82.84,20.15,96.27,29.10,23.13,72.39,38.06,84.33,47.01,23.13
1037,26.12,11.19,23.13,72.39,11.19,45.52,48.51,51.49,84.33,73.88,85.82,11.19,91.79,99.25,32.09,18.66,24.63
1039,39.55,48.51,15.67,67.91,63.43,5.22,15.67,79.85,67.91,36.57,45.52,36.57,52.99,60.45,9.70,14.18,26.12
1041,52.99,51.49,54.48,88.81,64.93,30.60,84.33,94.78,88.81,6.72,97.76,5.22,50.00,42.54,81.34,81.34,30.60
1043,76.87,27.61,60.45,38.06,61.94,52.99,42.54,85.82,6.72,76.87,50.00,94.78,66.42,79.85,82.84,15.67,88.81
1045,67.91,75.37,73.88,85.82,67.91,11.19,23.13,55.97,38.06,66.42,0.75,70.90,30.60,45.52,41.04,97.76,85.82
1047,12.69,84.33,52.99,21.64,27.61,67.91,54.48,11.19,41.04,17.16,42.54,54.48,20.15,14.18,6.72,51.49,54.48
1049,73.88,0.75,97.76,24.63,6.72,32.09,61.94,8.21,24.63,20.15,82.84,63.43,23.13,87.31,26.12,99.25,2.24
1051,82.84,73.88,41.04,78.36,78.36,70.90,17.16,6.72,44.03,18.66,35.07,29.10,93.28,27.61,70.90,20.15,55.97
1053,17.16,32.09,81.34,82.84,97.76,6.72,57.46,72.39,61.94,90.30,6.72,97.76,58.96,50.00,85.82,58.96,81.34
1055,69.40,39.55,51.49,48.51,30.60,48.51,58.96,42.54,14.18,63.43,38.06,30.60,17.16,96.27,76.87,0.75,39.55
1057,48.51,29.10,2.24,45.52,57.46,90.30,66.42,81.34,91.79,23.13,15.67,39.55,60.45,66.42,50.00,96.27,69.40
1059,78.36,2.24,99.25,0.75,15.67,41.04,45.52,21.64,99.25,33.58,44.03,6.72,70.90,12.69,73.88,6.72,75.37
1061,32.09,33.58,55.97,73.88,32.09,0.75,24.63,84.33,51.49,26.12,30.60,61.94,35.07,21.64,11.19,38.06,36.57
1063,0.75,64.93,66.42,23.13,72.39,97.76,35.07,20.15,32.09,55.97,60.45,24.63,0.75,64.93,24.63,79.85,41.04
1065,21.64,72.39,35.07,15.67,52.99,81.34,44.03,9.70,73.88,9.70,57.46,69.40,85.82,36.57,93.28,54.48,44.03
1067,50.00,45.52,18.66,94.78,9.70,9.70,14.18,15.67,69.40,24.63,79.85,55.97,48.51,88.81,90.30,21.64,61.94
1069,60.45,81.34,57.46,93.28,44.03,8.21,11.19,29.10,30.60,8.21,47.01,50.00,9.70,91.79,66.42,11.19,21.64
1071,57.46,12.69,27.61,63.43,42.54,69.40,78.36,48.51,0.75,50.00,41.04,17.16,55.97,55.97,88.81,69.40,5.22
1073,79.85,94.78,48.51,12.69,55.97,61.94,60.45,18.66,63.43,87.31,73.88,75.37,39.55,61.94,69.40,8.21,11.19
1075,30.60,17.16,8.21,6.72,38.06,51.49,64.93,93.28,70.90,67.91,36.57,93.28,42.54,3.73,8.21,2.24,60.45
1077,75.37,52.99,9.70,3.73,60.45,72.39,79.85,73.88,21.64,81.34,26.12,85.82,69.40,32.09,67.91,39.55,76.87
1079,51.49,6.72,20.15,39.55,96.27,36.57,99.25,2.24,27.61,35.07,69.40,81.34,63.43,6.72,39.55,57.46,0.75
1081,96.27,99.25,90.30,90.30,33.58,60.45,94.78,97.76,45.52,15.67,2.24,14.18,8.21,44.03,60.45,70.90,63.43
1083,91.79,38.06,75.37,44.03,84.33,88.81,50.00,58.96,11.19,94.78,78.36,47.01,84.33,69.40,33.58,91.79,84.33
1085,11.19,66.42,42.54,66.42,8.21,66.42,63.43,5.22,76.87,42.54,84.33,90.30,78.36,11.19,23.13,72.39,90.30
1087,14.18,91.79,14.18,47.01,0.75,12.69,91.79,0.75,94.78,82.84,12.69,78.36,73.88,94.78,48.51,76.87,82.84
1089,97.76,93.28,50.00,29.10,76.87,64.93,90.30,50.00,42.54,99.25,76.87,26.12,24.63,33.58,38.06,30.60,66.42
1091,18.66,78.36,12.69,8.21,70.90,54.48,29.10,38.06,72.39,64.93,32.09,64.93,21.64,26.12,79.85,60.45,50.00
1093,61.94,18.66,5.22,20.15,58.96,82.84,75.37,87.31,87.31,44.03,14.18,76.87,11.19,54.48,35.07,64.93,12.69
1095,85.82,5.22,96.27,5.22,3.73,29.10,36.57,39.55,60.45,58.96,39.55,51.49,12.69,78.36,72.39,23.13,96.27
1097,55.97,87.31,70.90,35.07,93.28,35.07,18.66,96.27,78.36,11.19,93.28,82.84,75.37,67.91,21.64,94.78,51.49
1099,9.70,57.46,63.43,33.58,90.30,18.66,6.72,66.42,8.21,88.81,5.22,2.24,81.34,9.70,27.61,24.63,48.51
1101,66.42,97.76,69.40,51.49,29.10,24.63,85.82,44.03,75.37,84.33,90.30,67.91,47.01,23.13,44.03,26.12,42.54
