county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
51001,39.47,84.59,67.29,95.11,10.90,4.14,90.60,29.70,25.94,14.66,63.53,94.36,77.82,95.11,21.43,92.86,13.16
51003,89.10,31.20,43.23,20.68,48.50,74.06,80.83,53.76,31.95,68.05,43.23,10.90,40.23,38.72,94.36,87.59,63.53
51005,33.46,5.64,59.77,44.74,50.00,44.74,77.82,46.99,48.50,56.77,1.88,34.96,91.35,27.44,13.16,25.94,66.54
51007,46.99,51.50,37.97,96.62,81.58,51.50,14.66,23.68,13.91,97.37,91.35,26.69,66.54,83.08,73.31,85.34,61.28
51009,43.23,47.74,50.75,64.29,27.44,68.80,46.24,37.97,40.23,80.83,28.95,14.66,24.44,49.25,55.26,82.33,95.11
51011,44.74,39.47,35.71,47.74,59.77,46.99,38.72,31.20,16.17,89.85,9.40,5.64,87.59,86.09,23.68,65.04,25.94
51013,96.62,53.01,45.49,25.94,61.28,61.28,97.37,97.37,95.11,34.96,90.60,1.13,98.12,99.62,36.47,1.88,11.65
51015,58.27,10.90,57.52,75.56,70.30,50.75,50.00,20.68,75.56,60.53,39.47,55.26,12.41,35.71,22.93,37.97,18.42
51017,43.98,10.15,58.27,73.31,90.60,11.65,73.31,74.81,99.62,1.88,89.85,83.08,22.93,36.47,1.88,28.20,77.07
51019,61.28,7.14,38.72,36.47,68.05,52.26,34.21,60.53,21.43,51.50,51.50,44.74,39.47,16.92,56.77,60.53,28.20
51021,36.47,3.38,53.01,49.25,97.37,49.25,56.02,79.32,80.83,7.14,98.87,62.03,37.22,1.88,5.64,46.24,4.14
51023,68.05,1.13,29.70,39.47,76.32,83.08,36.47,58.27,36.47,19.92,14.66,32.71,62.78,3.38,8.65,61.28,40.98
51025,8.65,86.84,22.18,69.55,91.35,22.93,75.56,54.51,13.16,92.11,15.41,10.15,49.25,31.95,40.23,51.50,31.95
51027,1.88,41.73,94.36,60.53,66.54,82.33,15.41,80.83,89.85,88.35,10.90,58.27,74.81,88.35,98.87,76.32,65.79
51029,17.67,78.57,55.26,92.11,93.61,15.41,20.68,30.45,86.84,90.60,56.02,64.29,58.27,20.68,45.49,33.46,71.80
51031,49.25,28.20,41.73,42.48,62.78,48.50,51.50,45.49,10.90,77.82,31.95,19.17,22.18,73.31,35.71,62.03,89.10
51033,54.51,62.03,25.94,70.30,60.53,65.04,47.74,18.42,82.33,55.26,7.89,25.19,30.45,92.86,10.15,28.95,15.41
51035,21.43,16.17,83.83,58.27,67.29,63.53,46.99,80.08,8.65,59.02,83.08,59.02,44.74,84.59,83.83,40.98,56.77
51036,22.93,93.61,0.38,99.62,1.13,99.62,88.35,91.35,73.31,21.43,71.05,62.78,46.24,46.24,68.80,38.72,49.25
51037,10.90,71.80,62.03,71.05,46.99,34.21,31.95,24.44,11.65,96.62,70.30,74.06,95.86,11.65,37.22,49.25,24.44
51041,87.59,57.52,24.44,27.44,56.02,43.98,9.40,59.77,22.18,34.21,56.77,36.47,37.97,43.23,50.75,62.78,47.74
51043,76.32,26.69,62.78,90.60,15.41,34.96,74.06,10.15,94.36,77.07,86.84,43.98,92.86,46.99,93.61,23.68,78.57
51045,28.95,2.63,65.04,46.99,31.95,38.72,66.54,48.50,50.75,46.99,47.74,78.57,6.39,37.22,0.38,30.45,44.74
51047,77.07,59.02,69.55,89.85,65.79,77.07,13.91,14.66,80.08,37.22,22.93,34.21,25.94,71.80,74.81,44.74,59.02
51049,13.16,74.06,34.96,67.29,18.42,73.31,70.30,37.22,79.32,85.34,57.52,46.24,90.60,61.28,65.79,56.77,70.30
51051,4.14,21.43,93.61,48.50,88.35,86.84,19.17,62.78,67.29,83.08,12.41,17.67,67.29,82.33,97.37,67.29,54.51
51053,30.45,74.81,32.71,56.77,57.52,17.67,5.64,43.98,59.02,66.54,21.43,74.81,52.26,76.32,47.74,70.30,16.17
51057,40.23,68.80,13.91,84.59,7.14,59.02,72.56,16.92,57.52,86.84,4.89,16.17,5.64,34.21,44.74,95.11,72.56
51059,98.87,83.83,86.84,43.98,71.80,62.78,77.07,99.62,81.58,98.12,16.17,92.11,28.20,19.17,34.21,83.08,46.99
51061,91.35,23.68,39.47,77.07,49.25,53.01,17.67,10.90,77.82,46.24,38.72,6.39,88.35,50.75,56.02,32.71,2.63
51063,34.96,13.16,59.02,53.01,52.26,89.85,13.16,81.58,37.97,12.41,46.24,65.04,34.21,71.05,50.00,72.56,25.19
51065,75.56,24.44,25.19,30.45,13.16,31.20,31.20,33.46,43.98,32.71,17.67,7.14,9.40,62.03,77.07,74.06,77.82
51067,37.22,28.95,61.28,43.23,40.98,56.77,42.48,70.30,25.19,30.45,86.09,56.02,60.53,51.50,48.50,68.05,59.77
51069,83.83,30.45,70.30,86.84,43.23,55.26,34.96,2.63,93.61,35.71,33.46,31.95,10.15,31.20,79.32,16.92,1.13
51071,34.21,7.89,77.07,57.52,34.96,67.29,64.29,52.26,34.96,68.80,95.11,22.93,4.14,80.08,7.14,53.76,1.88
51073,70.30,20.68,22.93,61.28,43.98,19.92,43.23,25.19,12.41,47.74,83.83,89.85,54.51,95.86,62.03,34.21,73.31
51075,77.82,13.91,11.65,51.50,63.53,18.42,30.45,62.03,56.02,22.18,13.16,28.95,59.77,10.90,64.29,79.32,27.44
51077,5.64,17.67,85.34,40.98,55.26,60.53,59.02,92.86,18.42,20.68,19.92,73.31,57.52,77.07,19.92,16.17,74.06
51079,63.53,50.00,82.33,74.81,21.43,14.66,16.92,17.67,90.60,71.05,88.35,72.56,25.19,92.11,77.82,89.10,43.23
51081,7.89,89.10,14.66,95.86,98.87,16.92,81.58,61.28,44.74,64.29,53.76,27.44,51.50,26.69,22.18,12.41,5.64
51083,18.42,67.29,40.98,59.77,28.20,22.18,65.04,65.04,2.63,94.36,37.22,4.89,35.71,55.26,62.78,57.52,34.96
51085,84.59,9.40,17.67,40.23,72.56,53.76,23.68,31.95,30.45,45.49,28.20,42.48,76.32,65.04,57.52,89.85,12.41
51087,86.09,70.30,28.20,13.16,35.71,42.48,68.05,86.09,46.99,93.61,41.73,53.76,3.38,6.39,31.20,90.60,30.45
51089,16.92,61.28,66.54,37.22,30.45,33.46,35.71,92.11,39.47,10.90,19.17,60.53,40.98,43.98,71.80,50.00,95.86
51091,32.71,0.38,71.80,94.36,0.38,4.89,96.62,57.52,19.92,86.09,35.71,37.22,46.99,14.66,53.01,14.66,38.72
51093,59.77,48.50,9.40,33.46,58.27,25.19,10.15,68.05,43.23,17.67,22.18,85.34,78.57,93.61,86.09,65.79,81.58
51095,85.34,32.71,13.16,31.20,37.97,45.49,56.77,75.56,14.66,10.15,74.06,83.83,86.84,25.94,95.11,56.02,32.71
51097,47.74,59.77,27.44,92.86,65.04,40.23,60.53,26.69,50.00,67.29,66.54,81.58,81.58,40.23,7.89,63.53,84.59
51099,88.35,43.23,19.17,41.73,75.56,47.74,1.13,4.89,83.83,48.50,62.78,28.20,64.29,50.00,59.77,41.73,34.21
51101,68.80,40.98,12.41,80.08,50.75,97.37,43.98,15.41,33.46,81.58,29.70,50.00,83.83,90.60,3.38,93.61,28.95
51103,51.50,35.71,8.65,66.54,3.38,0.38,92.86,64.29,28.20,28.95,46.99,84.59,53.76,0.38,90.60,6.39,10.90
51105,1.13,52.26,95.11,37.97,83.83,95.86,1.88,88.35,92.86,54.51,96.62,77.82,95.11,16.17,91.35,36.47,53.01
51107,99.62,65.79,71.05,35.71,83.08,80.83,32.71,98.12,91.35,98.87,10.15,57.52,50.00,28.95,46.24,3.38,22.18
51109,48.50,53.76,52.26,82.33,19.92,37.97,21.43,27.44,85.34,71.80,76.32,80.83,38.72,59.77,65.04,75.56,92.86
