% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
0.3,2.07,,,7.9,0.2,9.6,5.9,40.1,8.0,36.4,0.0,0.5,51.5,60.6,24745.0,0.0,0.1,0.0,0,0,1826,26001000100,10.6,99.5
0.6,2.38,44.78627,-83.29775,12.9,0.8,10.5,6.2,37.4,12.3,33.5,0.0,1.0,48.8,53.9,18815.0,0.2,0.3,0.1,1,0.382995021064726,2611,26001970100,11.9,97.9
0.2,2.58,,,16.5,0.0,5.9,3.3,46.4,13.6,30.8,0.1,1.3,52.1,47.9,18577.0,0.3,0.4,0.1,0,0,2928,26001970400,12.8,98.8
0.0,2.34,,,21.3,0.0,5.5,2.7,41.4,22.7,27.8,0.0,1.4,52.0,55.3,16009.0,1.6,0.4,0.4,0,0,2256,26001970500,23.6,97.6
0.0,2.34,,,16.9,1.2,10.9,4.9,37.1,12.7,34.3,0.0,0.7,49.2,56.2,17288.0,4.2,0.0,0.2,0,0,1481,26001970600,22.6,94.4
,,,,,,,,,,,,,,,,,,,0,0,0,26001990000,,
0.5,2.41,46.413914,-86.66266,16.7,5.0,11.4,3.5,42.5,16.5,26.1,0.0,1.6,53.6,46.4,18225.0,2.1,2.4,0.4,1,0.244857982370225,4084,26003000100,15.7,89.4
0.2,2.34,,,11.4,1.7,11.9,9.1,40.1,8.1,31.0,0.0,1.0,50.5,50.2,22018.0,2.6,2.9,0.0,0,0,3010,26003000200,13.4,92.7
0.4,2.19,,,12.4,21.2,13.3,2.6,49.2,15.2,19.6,0.0,0.7,65.4,42.5,21289.0,0.2,1.7,0.2,0,0,2477,26003000300,9.4,76.4
,,,,,,,,,,,,,,,,,,,0,0,0,26003990000,,
3.4,2.79,42.76571915,-86.196402,0.6,0.2,24.6,17.2,18.8,4.0,35.4,0.0,5.1,49.2,42.7,35409.0,0.0,1.4,0.4,1,0.282645562464669,3538,26005030200,6.9,94.6
