tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21001970100,KY,Adair County,,,8,87.7,1538,22.7178729689808,2.67,4.3,45.7,52.6,96.9,0.0,0.0,0.0,0.0,0.7,2.5,1.4,24.2,41.4,34.4,18750.0,23.8,0,0
21001970200,KY,Adair County,,,8,91.8,1841,45.682382133995,2.43,3.6,46.8,49.2,96.0,2.8,0.0,0.0,0.0,0.0,1.1,0.5,21.6,38.6,39.8,22943.0,13.1,0,0
21001970300,KY,Adair County,,,8,89.3,3032,41.0284167794317,2.56,7.4,41.2,52.0,98.1,0.0,0.0,0.0,0.0,0.0,1.9,0.0,24.3,38.5,37.2,17806.0,22.4,0,0
21001970401,KY,Adair County,37.09863412,-85.30813487,7,89.4,4654,114.348894348894,2.33,4.0,43.8,46.0,91.6,6.6,0.0,0.0,0.0,1.6,0.2,1.8,24.8,29.6,45.5,19479.0,22.1,2,0.429737859905458
21001970402,KY,Adair County,,,7,82.0,4408,170.19305019305,2.57,7.3,28.3,50.5,93.8,3.6,0.0,0.8,0.0,0.1,1.7,4.8,22.5,37.9,39.5,13371.0,19.7,0,0
21001970500,KY,Adair County,,,8,91.6,2289,22.4852652259332,2.61,4.3,43.7,50.7,94.0,2.8,1.1,0.6,0.0,0.0,1.5,0.0,22.3,38.4,39.3,20965.0,28.4,0,0
21001970600,KY,Adair County,,,8,86.4,1394,25.3454545454545,2.67,11.6,35.5,47.8,99.3,0.7,0.0,0.0,0.0,0.0,0.0,1.7,31.1,38.1,30.7,19705.0,41.4,0,0
21003920100,KY,Allen County,,,8,94.0,3120,38.7577639751553,2.34,1.3,46.7,49.0,94.5,2.5,0.0,1.4,0.0,0.0,1.6,0.4,13.9,35.3,50.8,26164.0,9.2,0,0
21003920200,KY,Allen County,,,2,73.6,2965,52.3851590106007,3.04,3.9,33.1,50.2,99.4,0.0,0.2,0.0,0.0,0.4,0.0,3.8,26.9,30.6,42.5,24735.0,16.0,0,0
21003920300,KY,Allen County,,,7,90.7,4772,176.740740740741,2.48,6.7,42.9,49.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,26.2,27.3,46.5,22675.0,14.8,0,0
21003920400,KY,Allen County,,,7,87.3,4526,88.0544747081712,2.58,11.5,38.4,47.2,96.7,2.3,0.0,0.0,0.0,0.0,1.0,1.7,19.3,45.6,35.1,19416.0,23.4,0,0
21003920500,KY,Allen County,,,8,81.6,1606,23.343023255814,2.91,7.6,40.3,56.4,88.2,1.9,0.0,1.8,0.0,6.6,1.5,6.6,29.1,46.7,24.2,19191.0,18.2,0,0
21003920600,KY,Allen County,,,9,78.4,3432,57.1048252911814,2.74,11.1,35.1,50.8,97.3,0.0,0.0,0.0,0.0,1.7,1.0,1.9,30.6,35.4,34.0,17142.0,19.0,0,0
21005950100,KY,Anderson County,38.03134,-84.915665,4,91.5,8441,290.068728522337,2.6,7.3,37.5,47.5,95.5,4.5,0.0,0.0,0.0,0.0,0.0,1.3,11.7,40.4,48.0,28175.0,13.0,1,0.11846937566639
21005950201,KY,Anderson County,38.03168419,-84.89440616,5,93.1,5270,1225.58139534884,2.41,9.1,40.8,46.5,94.1,1.9,0.0,1.6,0.0,0.6,1.9,0.6,8.8,40.6,50.5,31234.0,9.1,1,0.189753320683112
21005950202,KY,Anderson County,,,5,96.5,3576,125.034965034965,2.49,3.9,44.5,53.0,96.7,0.0,0.0,0.0,0.0,0.0,3.3,2.0,11.8,31.1,57.0,31387.0,13.6,0,0
21005950300,KY,Anderson County,,,5,92.1,2209,36.3322368421053,2.56,8.5,44.4,51.9,95.8,0.0,0.0,0.0,0.0,1.4,2.8,4.2,12.5,44.6,42.9,24948.0,6.5,0,0
21005950400,KY,Anderson County,,,5,92.6,2371,29.9747155499368,2.76,7.6,45.1,47.5,95.7,3.4,0.0,0.0,0.0,0.5,0.4,1.8,14.3,42.7,42.9,25681.0,11.3,0,0
21007950100,KY,Ballard County,37.05665009,-88.98088705,5,88.4,4546,39.1559000861326,2.55,5.3,43.7,50.4,94.5,4.5,0.3,0.5,0.0,0.0,0.2,0.7,13.6,36.4,50.1,24541.0,15.3,1,0.21997360316762
