tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44001030100,6.46,14.38,51.04,80.62,73.96,45.62,86.46,23.54,66.04,23.54,69.38,40.62,25.63,33.96,37.29,56.04,69.38,91.88,36.04
44001030200,18.96,20.63,44.79,81.46,53.12,44.79,74.79,38.12,63.96,52.71,33.54,37.29,37.71,46.04,8.54,47.71,79.38,73.96,55.62
44001030300,3.54,10.21,30.63,90.62,82.71,18.12,96.04,19.79,77.29,23.96,74.38,56.04,18.96,7.71,85.62,60.62,75.21,22.29,57.71
44001030400,1.04,25.21,7.29,97.71,92.71,4.79,98.54,36.04,73.96,15.21,84.38,88.54,8.54,1.46,99.79,86.46,83.96,53.54,18.54
44001030500,57.29,15.21,77.71,72.29,3.96,88.54,45.21,76.88,46.88,50.21,2.29,88.12,91.88,66.04,73.12,51.46,59.38,81.04,23.12
44001030601,27.29,21.04,34.79,86.04,17.29,62.71,63.96,40.21,65.21,43.96,5.63,24.79,52.29,18.12,83.12,19.38,31.04,27.71,55.21
44001030602,37.71,24.79,65.21,73.54,2.29,67.29,54.79,33.96,52.71,69.38,21.04,44.79,28.96,51.88,5.21,18.96,79.79,28.54,48.96
44001030700,55.21,12.29,81.04,49.79,0.63,58.54,85.62,52.71,36.88,5.21,16.87,82.71,34.38,70.21,53.54,6.88,98.54,78.12,11.46
44001030800,65.21,10.62,93.54,89.79,29.37,91.04,16.87,96.88,92.29,48.96,0.21,6.04,89.79,88.12,32.71,98.54,96.46,85.21,8.13
44001030901,46.04,44.79,9.38,92.71,25.21,58.12,62.71,18.96,33.96,83.12,2.71,26.04,10.62,55.62,56.04,48.54,60.21,8.96,26.88
44001030902,14.79,20.21,61.04,76.46,16.87,54.38,75.62,10.21,50.21,38.12,47.71,3.54,36.46,72.71,17.71,28.12,70.62,58.12,16.87
44003020101,23.96,66.04,58.54,45.21,53.96,40.21,32.29,61.88,44.38,29.37,73.12,43.12,63.12,58.54,62.71,86.88,48.96,29.79,25.63
