county,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17
40001,99.35,88.96,72.08,0.65,98.05,46.10,74.68,13.64,99.35,62.99,91.56,96.75,9.74,75.97,35.71,72.08,62.99
40003,35.71,18.83,4.55,98.05,99.35,92.86,31.82,96.75,70.78,57.79,57.79,25.32,94.16,22.73,30.52,3.25,7.14
40005,87.66,57.79,37.01,88.96,47.40,72.08,78.57,83.77,56.49,46.10,51.30,9.74,0.65,29.22,55.19,96.75,43.51
40007,7.14,83.77,3.25,16.23,65.58,9.74,18.83,26.62,50.00,85.06,44.81,37.01,40.91,51.30,87.66,8.44,60.39
40009,24.03,87.66,38.31,37.01,56.49,99.35,65.58,42.21,35.71,27.92,83.77,61.69,35.71,73.38,94.16,12.34,90.26
40011,37.01,60.39,8.44,96.75,92.86,53.90,47.40,70.78,96.75,12.34,18.83,92.86,57.79,7.14,75.97,88.96,3.25
40013,66.88,44.81,74.68,30.52,7.14,73.38,79.87,75.97,82.47,90.26,8.44,79.87,78.57,17.53,39.61,95.45,17.53
40015,75.97,85.06,59.09,18.83,79.87,85.06,48.70,47.40,78.57,99.35,88.96,20.13,12.34,0.65,26.62,59.09,51.30
40017,0.65,43.51,92.86,7.14,34.42,82.47,30.52,98.05,39.61,59.09,98.05,60.39,52.60,83.77,50.00,39.61,31.82
40019,51.30,52.60,78.57,59.09,1.95,74.68,21.43,53.90,62.99,33.12,56.49,95.45,24.03,24.03,62.99,30.52,4.55
40021,94.16,70.78,91.56,1.95,91.56,59.09,60.39,38.31,94.16,96.75,27.92,64.29,92.86,60.39,53.90,73.38,83.77
40023,98.05,77.27,61.69,86.36,3.25,39.61,17.53,0.65,57.79,11.04,86.36,7.14,83.77,69.48,57.79,40.91,34.42
40025,5.84,81.17,0.65,66.88,66.88,0.65,62.99,1.95,88.96,95.45,99.35,12.34,33.12,61.69,69.48,87.66,33.12
40027,4.55,51.30,98.05,65.58,39.61,40.91,94.16,99.35,72.08,30.52,96.75,65.58,20.13,64.29,52.60,74.68,37.01
40029,86.36,48.70,35.71,39.61,20.13,27.92,72.08,79.87,48.70,81.17,82.47,0.65,37.01,42.21,96.75,16.23,25.32
40031,42.21,91.56,95.45,92.86,31.82,94.16,1.95,16.23,24.03,87.66,69.48,69.48,13.64,8.44,56.49,13.64,46.10
40033,60.39,24.03,40.91,70.78,5.84,65.58,51.30,72.08,29.22,98.05,60.39,46.10,5.84,12.34,42.21,48.70,48.70
40035,70.78,25.32,53.90,42.21,96.75,25.32,26.62,59.09,66.88,9.74,65.58,94.16,88.96,11.04,91.56,22.73,69.48
40037,44.81,14.94,48.70,14.94,59.09,60.39,27.92,50.00,51.30,8.44,62.99,70.78,17.53,52.60,74.68,66.88,70.78
40039,17.53,86.36,79.87,40.91,43.51,79.87,96.75,7.14,64.29,74.68,9.74,29.22,46.10,21.43,90.26,11.04,94.16
40041,79.87,13.64,55.19,31.82,88.96,1.95,44.81,94.16,37.01,51.30,90.26,83.77,90.26,38.31,31.82,55.19,66.88
40043,26.62,17.53,16.23,55.19,57.79,78.57,95.45,5.84,46.10,24.03,95.45,55.19,86.36,14.94,14.94,1.95,56.49
40045,18.83,7.14,14.94,64.29,35.71,20.13,75.97,27.92,1.95,77.27,94.16,88.96,77.27,88.96,46.10,69.48,26.62
40047,20.13,69.48,62.99,51.30,62.99,26.62,61.69,29.22,25.32,39.61,0.65,26.62,22.73,4.55,72.08,37.01,5.84
40049,50.00,53.90,22.73,43.51,18.83,77.27,66.88,31.82,85.06,4.55,72.08,50.00,8.44,55.19,20.13,43.51,75.97
40051,31.82,29.22,47.40,22.73,21.43,87.66,43.51,48.70,60.39,44.81,48.70,53.90,39.61,50.00,78.57,62.99,27.92
40053,1.95,0.65,24.03,82.47,72.08,7.14,9.74,69.48,83.77,56.49,34.42,27.92,21.43,94.16,13.64,83.77,68.18
40055,55.19,73.38,12.34,99.35,90.26,98.05,42.21,65.58,77.27,92.86,78.57,22.73,85.06,53.90,16.23,79.87,92.86
40057,56.49,98.05,51.30,95.45,13.64,3.25,38.31,92.86,7.14,94.16,35.71,99.35,73.38,96.75,98.05,9.74,95.45
40059,8.44,92.86,1.95,5.84,64.29,18.83,64.29,11.04,14.94,14.94,38.31,4.55,95.45,9.74,29.22,99.35,30.52
40061,88.96,59.09,39.61,17.53,50.00,57.79,85.06,78.57,11.04,18.83,40.91,33.12,53.90,39.61,95.45,86.36,81.17
40063,91.56,75.97,31.82,50.00,78.57,96.75,13.64,73.38,27.92,38.31,70.78,66.88,48.70,85.06,88.96,98.05,73.38
40065,33.12,95.45,81.17,85.06,14.94,30.52,52.60,46.10,86.36,91.56,4.55,78.57,55.19,92.86,34.42,57.79,44.81
40067,69.48,64.29,5.84,73.38,8.44,75.97,92.86,66.88,38.31,73.38,75.97,16.23,75.97,5.84,77.27,34.42,91.56
40069,77.27,65.58,27.92,56.49,9.74,69.48,86.36,57.79,44.81,43.51,31.82,24.03,79.87,98.05,82.47,5.84,0.65
40071,43.51,33.12,68.18,61.69,75.97,14.94,81.17,18.83,5.84,79.87,12.34,30.52,69.48,70.78,79.87,53.90,78.57
40073,9.74,55.19,42.21,8.44,48.70,52.60,12.34,64.29,74.68,78.57,1.95,13.64,62.99,25.32,17.53,51.30,85.06
40075,59.09,56.49,17.53,91.56,30.52,17.53,83.77,20.13,69.48,69.48,87.66,75.97,70.78,68.18,24.03,52.60,57.79
40077,81.17,39.61,69.48,48.70,60.39,62.99,70.78,86.36,68.18,88.96,11.04,18.83,60.39,57.79,64.29,81.17,47.40
40079,82.47,72.08,44.81,35.71,38.31,68.18,82.47,68.18,18.83,3.25,29.22,3.25,59.09,35.71,12.34,38.31,96.75
40081,46.10,11.04,26.62,33.12,40.91,64.29,46.10,55.19,17.53,20.13,42.21,51.30,26.62,74.68,85.06,90.26,50.00
40083,25.32,26.62,87.66,47.40,37.01,86.36,3.25,9.74,9.74,55.19,52.60,38.31,98.05,59.09,81.17,65.58,59.09
40085,40.91,82.47,11.04,3.25,0.65,95.45,22.73,81.17,33.12,1.95,50.00,98.05,87.66,1.95,4.55,46.10,79.87
40087,16.23,22.73,57.79,12.34,24.03,81.17,24.03,82.47,87.66,65.58,39.61,21.43,47.40,87.66,68.18,78.57,77.27
40089,92.86,74.68,66.88,68.18,17.53,61.69,34.42,24.03,91.56,0.65,30.52,40.91,18.83,30.52,47.40,29.22,64.29
40091,83.77,9.74,33.12,79.87,46.10,8.44,16.23,90.26,12.34,64.29,77.27,81.17,44.81,20.13,25.32,61.69,24.03
40093,21.43,27.92,20.13,52.60,51.30,33.12,53.90,52.60,8.44,60.39,74.68,31.82,1.95,34.42,21.43,42.21,72.08
