% Asian,Avg Household Size,Latitude,Longitude,% Poverty,% Black,% Ed. Bachelors,% Ed. Grad. Degree,% Ed. HS Grad.,% Ed. < HS,% Ed. Some College,% Hawaiian/PI,% Hispanic/Latino,% Male,Median Age,Median Income,% Multi-race,% Native,% Other Race,MH Provider Count,MH Provider per 1000 Pop.,Population,tract,Unemployment,% White
9.3,1.94,37.857576,-122.2304,4.5,5.1,37.1,48.0,3.4,0.0,11.5,0.7,3.5,46.9,54.6,86731.0,4.9,0.0,0.0,2,0.815993472052224,2451,06001400100,4.3,80.0
11.0,2.28,37.8465371538095,-122.252098042857,4.3,3.4,38.8,45.2,6.0,0.4,9.6,0.0,9.0,43.6,43.3,53203.0,10.1,0.6,0.5,21,9.98573466476462,2103,06001400200,2.3,74.4
6.0,2.02,37.8412849716364,-122.252511171818,9.7,11.5,32.7,38.2,6.2,8.8,14.1,0.0,9.1,47.2,41.7,49798.0,3.8,0.8,2.1,110,21.6194968553459,5088,06001400300,8.1,75.8
4.0,2.12,37.8499295215385,-122.254824753846,8.9,9.0,39.1,40.1,4.7,3.5,12.7,0.0,11.4,45.8,36.6,48066.0,7.3,0.7,2.9,13,3.29698199340604,3943,06001400400,3.8,76.2
5.3,2.13,37.849285866,-122.26182935,13.3,30.6,36.8,22.2,12.7,4.2,24.1,0.0,10.4,43.6,34.2,31838.0,6.6,0.5,2.8,10,2.87273771904625,3481,06001400500,8.7,54.1
2.9,2.38,,,9.1,56.4,44.0,16.9,12.5,12.1,14.6,0.0,5.9,43.9,34.6,26727.0,8.1,0.2,2.8,0,0,1707,06001400600,8.3,29.5
11.1,2.33,37.8418282,-122.2696423,11.4,47.6,23.9,18.7,18.7,9.0,29.7,0.0,3.6,44.0,35.0,26341.0,8.6,0.0,0.8,2,0.49055678194751,4077,06001400700,8.0,32.0
10.8,2.0,,,14.3,38.9,32.4,18.0,19.2,11.8,18.7,0.3,12.3,50.1,36.4,31675.0,5.4,0.0,4.6,0,0,3021,06001400800,11.0,40.0
2.1,2.17,,,11.7,49.3,31.3,9.5,10.4,14.3,34.5,0.0,5.0,45.9,34.5,32121.0,0.0,0.0,1.3,0,0,2444,06001400900,8.4,47.3
7.2,2.32,37.8371294411764,-122.268145011765,31.2,62.9,25.4,10.7,15.8,13.9,34.3,0.0,5.5,43.9,33.2,30993.0,4.0,0.0,2.3,34,6.72867603403919,5053,06001401000,9.2,23.7
13.2,2.02,37.8325750542857,-122.262978028571,20.2,20.3,32.7,17.4,10.4,7.9,31.6,0.9,19.3,50.8,32.3,25893.0,4.6,1.0,1.3,7,1.68878166465621,4145,06001401100,10.3,58.7
11.3,1.78,37.82437751,-122.25943537,10.4,17.6,35.6,26.1,14.3,4.4,19.7,1.6,8.0,46.2,40.3,42339.0,4.6,0.0,0.6,10,4.08830744071954,2446,06001401200,6.8,64.2
15.5,1.9,37.8179068429896,-122.265308252577,32.6,35.2,23.2,7.7,21.6,20.9,26.6,0.0,24.0,54.4,34.1,18986.0,3.7,0.4,3.2,97,27.5489917637035,3521,06001401300,9.4,42.0
14.6,2.52,37.824425,-122.27438,28.1,52.9,9.6,3.9,30.2,24.3,32.0,0.0,13.8,46.8,34.2,18128.0,2.1,0.5,9.0,1,0.26816840976133,3729,06001401400,17.4,20.8
9.8,1.95,,,28.5,54.3,16.7,1.4,23.3,18.3,40.3,0.0,13.5,54.5,42.1,17388.0,2.9,0.0,1.2,0,0,1702,06001401500,11.8,31.9
19.8,2.4,37.8169504,-122.27554048,30.5,61.1,9.0,8.1,24.3,28.8,29.8,0.0,8.7,44.8,35.9,21955.0,1.2,0.0,2.2,5,2.42130750605327,2065,06001401600,8.9,15.7
12.4,2.84,,,25.0,30.6,30.0,5.2,14.5,28.2,22.1,0.0,41.2,51.2,31.6,21430.0,2.8,0.0,22.9,0,0,2483,06001401700,9.0,31.3
3.1,2.64,37.8081795727273,-122.2992581,32.4,66.4,16.5,1.1,19.0,16.6,46.9,0.0,10.5,37.4,26.2,20034.0,0.0,0.1,1.8,11,7.19895287958115,1528,06001401800,17.4,28.6
9.4,2.5,,,17.6,39.8,21.3,4.0,18.5,21.8,34.4,0.7,30.2,51.6,32.8,22161.0,2.9,0.4,8.4,0,0,2161,06001402200,16.1,38.4
6.6,2.22,,,37.0,62.4,13.5,2.5,15.8,19.0,49.2,0.0,7.8,48.3,36.5,14432.0,6.9,0.7,5.2,0,0,2442,06001402400,31.7,18.1
11.1,2.6,37.8056486666667,-122.286411333333,38.4,63.9,12.6,3.5,32.6,19.7,31.6,0.0,14.0,37.8,26.4,13407.0,10.2,0.7,0.8,3,1.50678051230537,1991,06001402500,18.3,13.3
47.1,1.61,,,20.0,27.3,35.5,14.2,16.2,16.3,17.8,0.0,5.2,44.9,52.4,21518.0,0.0,0.4,1.4,0,0,899,06001402600,8.2,23.8
5.9,2.24,37.80828,-122.274704,27.1,66.1,16.0,10.5,26.2,23.6,23.6,0.0,17.1,41.3,35.6,22147.0,1.9,0.4,0.0,2,1.34228187919463,1490,06001402700,11.8,25.7
19.2,1.39,37.8077509091667,-122.271789058333,39.8,38.5,18.0,10.1,24.0,20.8,27.2,0.1,7.7,63.1,45.6,20502.0,5.3,0.0,2.6,24,10.0,2400,06001402800,11.5,34.3
57.0,1.47,37.8066756471795,-122.267821371795,27.0,14.6,22.4,7.0,27.4,25.3,17.9,0.0,6.4,44.0,45.8,13922.0,2.7,0.0,2.6,39,33.5339638865004,1163,06001402900,9.1,23.1
80.7,1.83,37.8004212227273,-122.270772354545,23.1,3.1,16.2,5.0,17.2,44.9,16.7,0.0,5.1,37.8,62.4,11511.0,2.6,2.2,0.0,22,9.70445522717247,2267,06001403000,15.1,11.3
43.8,1.73,37.8024938,-122.273078588889,25.7,20.6,18.3,17.6,13.3,31.4,19.3,0.0,11.0,67.3,39.8,21636.0,7.3,0.6,5.5,9,6.33802816901409,1420,06001403100,18.2,22.3
58.5,1.99,37.795197,-122.26724,19.3,6.2,27.8,20.4,12.4,28.7,10.7,0.0,4.4,46.9,39.4,30629.0,2.4,0.0,2.9,2,0.49248953459739,4061,06001403300,4.3,30.0
25.5,1.46,37.8048204,-122.2633634,14.0,18.9,25.2,18.8,15.9,10.2,29.9,0.0,14.0,45.9,39.9,32898.0,4.5,1.0,5.7,2,0.455062571103527,4395,06001403400,5.3,44.3
26.1,2.08,37.8218872733333,-122.258603347059,24.3,21.5,26.5,16.7,11.8,16.8,28.2,0.8,10.8,46.5,33.4,22309.0,7.1,0.5,0.3,51,10.4230533415083,4893,06001403501,7.6,43.7
15.2,1.61,37.813274,-122.26123,7.9,26.7,27.1,24.6,14.6,6.1,27.7,0.0,14.9,45.1,36.6,44383.0,8.9,0.0,1.8,1,0.502260170768458,1991,06001403502,3.5,47.4
18.4,1.85,37.8109644333333,-122.253798633333,11.7,33.2,33.5,21.0,12.1,5.7,27.7,0.0,9.8,44.7,35.4,45255.0,13.7,0.2,4.1,3,0.62047569803516,4835,06001403600,5.7,30.5
11.9,1.44,37.81024575,-122.2589925,12.5,21.0,38.6,29.6,10.3,4.7,16.7,0.0,6.3,56.4,38.4,43191.0,5.1,0.0,4.3,4,1.59616919393456,2506,06001403701,0.8,57.7
14.1,1.64,37.809027125,-122.25279409375,13.8,20.2,37.0,27.9,9.0,1.1,24.9,0.0,9.2,46.9,39.7,42460.0,5.6,0.0,1.5,16,8.43437005798629,1897,06001403702,11.2,58.7
10.6,1.92,37.8154206,-122.244956,5.7,12.3,37.1,35.6,6.6,1.3,19.5,0.0,14.2,45.6,37.6,49273.0,5.7,0.0,1.5,5,1.36724090784796,3657,06001403800,5.2,69.8
12.8,1.69,37.8165250571428,-122.247853742857,4.9,22.5,36.1,28.8,6.6,2.4,26.1,0.0,6.4,46.0,39.4,48476.0,4.8,0.0,1.7,7,1.78753830439224,3916,06001403900,4.3,58.3
12.3,1.54,37.8246994702381,-122.256556552381,12.9,14.2,35.6,26.4,6.8,6.8,24.3,0.0,11.1,45.6,37.7,48981.0,8.2,0.0,4.0,42,16.0121997712543,2623,06001404000,8.0,61.3
14.1,1.72,37.828649661,-122.250096465,6.7,0.7,45.5,30.3,6.1,0.0,18.1,0.0,10.1,43.0,40.4,51960.0,3.8,0.0,0.5,20,6.86813186813187,2912,06001404101,4.4,80.9
21.0,1.47,37.8270008888889,-122.255645111111,12.0,6.9,34.2,32.0,9.6,5.9,18.3,0.0,6.0,45.9,44.3,40405.0,7.5,0.4,1.7,9,3.62610797743755,2482,06001404102,9.4,62.4
12.0,2.36,37.8385646666667,-122.227985333333,4.0,5.2,33.7,55.1,4.2,0.5,6.4,0.0,10.6,47.0,43.0,80833.0,8.5,0.4,0.3,3,0.881834215167548,3402,06001404200,4.1,73.7
11.0,2.44,37.839043,-122.24691,2.0,2.2,35.1,46.2,9.6,2.4,6.7,0.0,3.1,50.5,44.2,85557.0,5.4,0.0,0.4,1,0.310945273631841,3216,06001404300,3.2,81.0
