tract,state,county,avg_lat,avg_long,primary_ruca,perc_insured,total_pop,pop_density,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hawaii_pacific_race,other_race,multiple_races,hispanic_latino,ed_less_than_hs,ed_hs_grad,ed_college_plus,median_income,below_poverty,prov_count,prov_density
37001020100,NC,Alamance County,36.0920412,-79.4481223666667,1,84.7,4224,2484.70588235294,2.21,12.6,38.3,49.0,58.3,25.3,0.4,0.6,0.0,11.5,3.9,14.0,12.6,22.4,65.1,21080.0,32.0,3,0.710227272727273
37001020200,NC,Alamance County,,,1,80.9,4021,3093.07692307692,2.52,11.4,35.3,42.0,46.3,32.0,0.7,3.4,0.0,15.3,2.3,24.6,30.6,37.6,31.8,17048.0,35.4,0,0
37001020300,NC,Alamance County,36.1000006666667,-79.4098766666667,1,77.5,7823,1819.3023255814,2.69,10.3,35.1,43.2,49.9,35.1,0.3,0.4,0.0,11.8,2.5,35.2,28.8,33.2,38.1,20322.0,20.7,3,0.383484596702032
37001020400,NC,Alamance County,,,1,75.6,6861,1524.66666666667,2.75,9.0,33.2,42.5,19.9,57.5,0.0,0.0,3.3,17.3,2.0,20.6,20.5,34.9,44.7,16212.0,37.0,0,0
37001020501,NC,Alamance County,,,1,80.0,3515,1255.35714285714,2.38,9.3,42.4,45.1,66.7,14.5,0.4,0.6,0.0,16.1,1.7,18.9,17.0,26.6,56.4,22721.0,29.0,0,0
37001020502,NC,Alamance County,,,1,81.0,3816,1817.14285714286,2.73,11.1,32.6,49.7,44.3,35.8,0.0,0.0,0.0,16.7,3.2,26.7,29.7,27.9,42.5,19375.0,26.1,0,0
37001020601,NC,Alamance County,,,1,95.4,3070,1395.45454545455,2.27,1.1,53.9,50.6,97.9,0.4,0.7,0.5,0.0,0.0,0.5,0.8,4.7,15.3,80.0,43988.0,0.9,0,0
37001020602,NC,Alamance County,36.0922425,-79.4612213,1,95.1,2596,2360.0,2.0,1.6,50.1,46.0,85.5,10.2,0.0,2.3,0.5,0.3,1.1,5.0,4.9,15.2,79.8,31943.0,5.5,1,0.385208012326656
37001020701,NC,Alamance County,36.07733135,-79.4762618666667,1,86.8,4295,1651.92307692308,2.22,4.1,47.4,46.2,75.6,11.2,0.0,0.4,0.0,0.9,11.8,8.0,12.6,25.8,61.6,26843.0,6.6,6,1.39697322467986
37001020702,NC,Alamance County,36.0486947,-79.4659998,1,85.5,4219,1454.8275862069,1.94,9.9,36.6,50.7,62.0,29.1,0.3,4.0,0.0,3.3,1.3,13.6,12.6,25.0,62.3,25325.0,20.6,1,0.237022991230149
37001020801,NC,Alamance County,,,1,87.4,1556,338.260869565217,2.33,5.4,40.5,44.0,69.7,15.3,0.0,7.7,0.0,4.4,2.8,13.7,21.6,34.0,44.4,27000.0,16.5,0,0
37001020802,NC,Alamance County,,,1,78.5,6107,3392.77777777778,2.52,10.5,34.8,47.2,51.7,37.0,0.0,0.2,0.0,8.7,2.4,20.0,27.9,33.4,38.7,16336.0,35.1,0,0
37001020901,NC,Alamance County,36.0693719,-79.40067855,1,81.3,4059,1353.0,2.63,4.4,35.3,47.1,71.0,10.9,0.0,1.4,0.0,15.4,1.2,32.1,12.9,25.7,61.3,25262.0,23.0,2,0.492732200049273
37001020902,NC,Alamance County,,,1,82.0,3659,914.75,2.61,7.6,43.1,45.2,83.1,6.5,0.2,0.0,0.0,7.6,2.7,14.5,10.7,31.8,57.6,26607.0,12.6,0,0
37001021000,NC,Alamance County,,,1,75.3,3612,2778.46153846154,2.14,10.5,39.3,46.3,49.5,29.8,5.5,0.3,0.0,6.8,8.0,18.4,29.3,31.4,39.3,14918.0,42.3,0,0
37001021101,NC,Alamance County,36.067706,-79.3996318,1,84.8,2545,820.967741935484,2.38,9.7,42.4,50.3,66.5,28.6,0.5,0.5,0.0,1.6,2.2,6.9,9.2,30.5,60.3,23376.0,16.5,1,0.392927308447937
37001021102,NC,Alamance County,,,1,89.5,3400,809.52380952381,2.21,6.7,42.5,47.0,73.4,17.9,0.2,0.0,0.0,5.9,2.5,6.2,15.2,33.9,50.9,23220.0,21.2,0,0
37001021201,NC,Alamance County,,,1,80.0,5195,381.985294117647,2.57,5.0,39.5,48.3,59.1,25.1,0.0,0.0,0.0,13.4,2.3,21.4,15.1,37.8,47.1,20876.0,24.5,0,0
37001021204,NC,Alamance County,,,1,88.8,4588,358.4375,2.52,3.7,37.3,50.5,79.1,12.5,0.5,0.3,0.0,3.0,4.6,10.7,14.6,25.9,59.4,32399.0,10.1,0,0
37001021205,NC,Alamance County,36.0749252,-79.2710804,1,92.4,5579,1239.77777777778,2.41,8.0,35.1,47.1,68.8,25.3,0.3,1.9,0.0,0.0,3.7,2.3,6.9,24.5,68.6,32456.0,11.4,1,0.179243592041585
37001021206,NC,Alamance County,36.095484,-79.2680877,1,87.8,5424,1084.8,2.85,4.6,33.8,44.4,67.1,22.8,0.2,0.0,0.0,3.7,6.1,13.1,10.9,29.1,60.0,29454.0,18.2,1,0.184365781710914
37001021207,NC,Alamance County,36.1008491,-79.2648585,1,92.9,3534,768.260869565218,2.41,6.0,43.1,45.8,86.4,10.9,0.8,0.0,0.0,1.6,0.4,6.5,12.1,28.1,59.9,25331.0,13.6,1,0.282965478211658
37001021300,NC,Alamance County,,,2,87.3,6002,114.32380952381,2.55,7.2,46.4,48.9,61.9,29.7,0.5,1.0,0.2,3.7,3.1,6.1,14.7,32.5,52.7,25338.0,14.5,0,0
37001021400,NC,Alamance County,,,2,85.4,2730,107.48031496063,2.26,14.0,47.0,47.1,93.9,2.4,0.0,0.3,0.0,0.3,3.2,2.7,18.2,39.7,42.1,23773.0,19.2,0,0
37001021500,NC,Alamance County,,,2,86.3,4770,133.988764044944,2.6,2.5,45.7,51.1,86.6,8.0,0.0,0.0,0.0,5.1,0.3,5.3,11.4,31.5,57.1,26379.0,9.2,0,0
37001021600,NC,Alamance County,,,1,87.4,7487,580.387596899225,2.52,9.5,21.9,46.2,84.4,9.7,0.2,1.9,0.0,0.2,3.7,5.4,17.7,23.9,58.4,22190.0,12.9,0,0
37001021701,NC,Alamance County,,,1,97.6,3206,2003.75,2.06,2.2,56.1,45.1,94.9,1.7,0.3,1.7,0.0,0.0,1.4,2.1,3.4,12.6,83.9,37970.0,2.4,0,0
37001021702,NC,Alamance County,36.1000835,-79.505958,1,97.2,5369,2556.66666666667,2.52,2.8,31.7,49.4,89.6,6.8,0.1,2.3,0.0,0.9,0.4,4.2,3.8,15.9,80.3,27435.0,18.2,1,0.186254423542559
37001021703,NC,Alamance County,36.0627096866667,-79.5048412933333,1,88.4,5712,634.666666666667,2.39,4.1,35.5,47.3,66.7,8.1,0.0,16.2,0.3,6.3,2.3,7.4,12.1,20.2,67.7,32951.0,15.3,15,2.62605042016807
37001021801,NC,Alamance County,,,2,90.1,4380,139.936102236422,2.47,3.8,43.7,51.6,95.2,1.8,1.1,0.0,0.0,0.0,1.9,1.5,11.1,29.4,59.5,29431.0,9.8,0,0
37001021802,NC,Alamance County,,,2,87.3,3665,130.892857142857,2.54,4.4,39.3,52.4,94.4,2.0,0.0,0.0,0.2,0.0,3.3,0.0,16.2,32.2,51.6,25714.0,18.9,0,0
37001021803,NC,Alamance County,,,2,85.0,2863,78.224043715847,2.47,5.2,45.9,46.8,88.3,3.1,0.3,0.0,0.0,6.9,1.4,7.3,16.0,35.6,48.5,23409.0,14.5,0,0
37001021901,NC,Alamance County,,,2,91.9,4196,196.07476635514,2.49,7.9,43.3,51.4,87.3,8.7,0.4,1.0,0.0,1.6,1.1,2.3,11.1,27.0,62.0,29625.0,13.9,0,0
37001021902,NC,Alamance County,,,2,85.2,4412,93.6730360934183,2.5,6.3,40.9,55.3,87.4,8.2,0.0,0.0,0.0,2.8,1.6,6.8,12.7,30.7,56.6,25467.0,9.9,0,0
37001022001,NC,Alamance County,,,2,85.3,3594,315.263157894737,2.5,7.4,42.8,50.3,81.7,9.0,0.2,1.5,0.0,6.2,1.4,9.7,17.1,23.8,59.1,27720.0,12.5,0,0
37001022002,NC,Alamance County,,,2,87.9,4288,202.264150943396,2.43,5.6,43.7,45.3,80.5,11.9,1.4,0.0,0.1,4.4,1.7,12.9,18.0,26.0,56.1,31196.0,10.5,0,0
37003040100,NC,Alexander County,35.97342,-81.005905,3,88.7,3297,54.95,2.55,4.0,42.2,45.0,98.1,1.5,0.0,0.0,0.0,0.0,0.4,0.2,21.3,42.0,36.8,22334.0,17.9,1,0.303306035790112
37003040200,NC,Alexander County,,,2,91.3,4009,60.834597875569,2.59,7.6,45.9,53.6,98.2,1.1,0.1,0.0,0.0,0.4,0.2,1.4,17.9,38.5,43.6,22853.0,10.0,0,0
37003040300,NC,Alexander County,,,2,90.0,3130,110.992907801418,2.59,10.3,47.8,47.3,93.2,5.1,0.0,0.0,0.0,0.0,1.8,0.4,21.7,33.7,44.6,20685.0,20.1,0,0
37003040400,NC,Alexander County,,,2,90.6,6952,349.346733668342,2.64,10.3,43.8,46.3,83.3,13.2,0.4,0.9,0.0,1.5,0.7,4.2,18.9,45.1,36.0,18856.0,14.2,0,0
37003040500,NC,Alexander County,,,2,86.1,6879,160.34965034965,2.61,9.2,37.5,50.1,81.7,3.1,1.1,0.0,0.5,12.6,0.9,14.1,24.1,44.2,31.6,17409.0,26.5,0,0
37003040600,NC,Alexander County,,,2,87.4,6489,235.963636363636,2.66,6.5,39.7,63.6,81.9,9.0,0.1,5.7,0.0,0.6,2.7,3.9,21.5,45.1,33.4,23851.0,14.5,0,0
37003040700,NC,Alexander County,,,1,87.4,6455,416.451612903226,2.57,9.2,44.1,47.5,95.8,2.6,0.0,0.0,0.0,0.0,1.5,1.1,12.3,27.0,60.8,30419.0,16.3,0,0
37005950100,NC,Alleghany County,,,10,84.1,4156,45.0759219088937,2.29,5.4,47.8,52.1,94.4,0.8,0.0,0.4,0.0,3.7,0.6,7.8,21.5,31.4,47.1,20276.0,18.0,0,0
37005950200,NC,Alleghany County,36.50402702,-81.1251969066667,10,80.4,3802,126.733333333333,2.23,8.3,42.9,47.7,83.1,5.7,4.5,0.0,0.0,5.9,0.8,14.6,19.9,34.5,45.6,17094.0,26.6,3,0.789058390320884
37005950300,NC,Alleghany County,,,10,89.0,2910,25.7750221434898,2.16,6.1,54.5,48.5,98.0,0.4,0.0,0.0,0.0,0.8,0.8,4.5,14.5,30.9,54.5,21800.0,12.5,0,0
37007920100,NC,Anson County,,,2,86.9,2960,29.1338582677165,2.21,6.9,46.4,49.7,61.3,36.7,0.0,0.0,0.0,0.0,2.0,0.0,20.2,46.3,33.6,19639.0,20.3,0,0
37007920200,NC,Anson County,,,10,85.2,1735,25.4398826979472,2.53,11.1,46.4,53.1,46.3,48.8,0.0,2.9,0.0,0.0,2.0,1.4,17.6,43.9,38.5,20842.0,14.5,0,0
37007920300,NC,Anson County,34.9855833,-80.1780589,2,85.2,7830,63.8662316476346,2.6,15.7,38.2,59.6,58.9,35.9,1.1,2.5,0.0,0.2,1.5,1.6,16.1,43.8,40.0,23046.0,14.6,1,0.127713920817369
37007920400,NC,Anson County,,,2,82.8,3019,73.6341463414634,2.69,16.5,36.1,49.4,28.3,68.0,0.0,0.0,0.0,3.7,0.0,3.7,22.0,40.0,38.0,19428.0,31.1,0,0
37007920500,NC,Anson County,34.96163795,-80.07296115,2,80.8,5772,163.050847457627,2.45,20.5,40.8,48.7,42.1,54.8,0.0,0.9,0.0,0.7,1.5,4.4,15.4,38.1,46.5,20607.0,23.9,2,0.346500346500346
37007920600,NC,Anson County,,,2,82.5,4567,28.0873308733087,2.68,8.5,39.8,48.4,41.8,58.0,0.0,0.0,0.0,0.1,0.0,9.3,31.0,35.6,33.4,16208.0,32.1,0,0
37009970200,NC,Ashe County,,,8,81.2,2690,49.3577981651376,2.13,11.3,47.0,48.5,96.8,0.4,0.1,0.6,0.0,0.0,2.0,0.9,24.8,34.5,40.7,18221.0,19.4,0,0
