tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
39001770100,OH,Adams County,38.935223,-83.424034,10,80.9,4617,41.7073170731707,2.45,8.8,43.6,48.7,95.5,1.4,0.8,1.1,0.0,0.0,1.3,1.0,23.0,43.1,34.0,18487.0,22.3,1,0.216590859865714
39001770200,OH,Adams County,38.933765,-83.58552,3,89.9,4934,57.3720930232558,2.84,11.4,38.5,49.3,96.3,0.0,0.0,0.0,0.0,0.3,3.5,0.4,13.8,50.7,35.5,23549.0,22.0,1,0.202675314146737
39001770300,OH,Adams County,38.810963,-83.5819,3,87.6,7108,47.2920825016633,2.91,8.7,38.7,50.3,99.6,0.0,0.0,0.0,0.0,0.0,0.4,0.3,25.3,44.4,30.4,21922.0,17.6,3,0.422059651097355
39001770400,OH,Adams County,38.7938,-83.53271,7,89.9,4332,116.451612903226,2.15,11.1,45.1,47.0,99.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,20.9,45.9,33.2,15932.0,33.6,1,0.23084025854109
39001770500,OH,Adams County,,,9,91.0,3429,22.5,2.43,9.9,43.1,53.7,91.7,0.1,2.5,0.0,0.0,0.0,5.7,0.0,25.2,48.4,26.4,16767.0,29.3,0,0
39001770600,OH,Adams County,,,10,85.2,3691,78.1991525423729,2.38,10.1,42.9,49.7,98.2,0.0,0.0,0.0,0.0,0.1,1.7,1.6,21.9,42.1,36.0,19341.0,29.1,0,0
39003010100,OH,Allen County,,,7,93.9,4535,574.050632911392,2.42,2.9,39.4,50.3,95.7,2.8,0.0,0.7,0.0,0.0,0.9,1.3,5.0,25.8,69.2,32018.0,5.8,0,0
39003010200,OH,Allen County,,,2,93.3,4165,59.585121602289,2.66,3.6,42.3,50.3,99.2,0.3,0.0,0.0,0.0,0.0,0.5,1.3,7.1,46.3,46.5,28421.0,9.2,0,0
39003010300,OH,Allen County,,,2,87.3,1553,53.7370242214533,2.53,5.0,44.3,48.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.8,54.1,42.0,30962.0,5.4,0,0
39003010600,OH,Allen County,,,2,92.4,4871,86.0600706713781,2.57,4.5,38.8,47.1,95.8,0.8,0.1,1.1,0.0,0.2,1.9,0.9,9.3,42.9,47.7,25916.0,14.4,0,0
39003010800,OH,Allen County,,,1,95.9,7382,542.794117647059,2.61,2.7,43.2,47.9,94.0,3.0,0.0,0.1,0.0,0.5,2.3,1.7,4.6,34.5,60.9,29924.0,2.5,0,0
39003010900,OH,Allen County,40.7286648,-84.1560483,1,87.2,4690,1675.0,2.23,11.5,27.5,58.7,86.0,10.2,0.0,0.4,0.0,0.4,3.0,3.6,7.4,38.5,54.1,19106.0,14.4,1,0.213219616204691
39003011000,OH,Allen County,40.767178,-84.15843,1,90.1,5902,1135.0,2.23,6.0,38.8,50.8,78.1,15.5,0.3,0.0,0.0,1.5,4.6,4.5,6.2,39.0,54.8,20956.0,21.7,1,0.169434090138936
39003011200,OH,Allen County,40.7724823,-84.1085261,1,91.9,2961,519.473684210526,2.63,4.2,42.3,78.8,71.5,24.4,1.0,0.1,0.0,1.8,1.1,6.5,16.9,43.1,40.1,5548.0,14.3,3,1.01317122593718
39003011300,OH,Allen County,,,1,93.7,7300,281.853281853282,2.55,4.3,41.8,49.5,92.2,3.3,0.1,1.7,0.0,1.4,1.2,1.7,11.8,37.3,51.0,24527.0,9.7,0,0
39003011400,OH,Allen County,40.79586,-83.91829,2,93.3,2973,83.2773109243697,2.67,3.0,44.9,49.5,99.6,0.0,0.0,0.0,0.0,0.0,0.4,0.9,5.0,43.8,51.2,26390.0,8.3,1,0.336360578540195
39003011500,OH,Allen County,,,2,95.3,2725,75.6944444444444,2.95,8.6,32.9,51.2,94.8,0.0,0.7,0.3,0.0,0.4,3.9,7.9,7.8,48.5,43.8,22240.0,10.8,0,0
39003011600,OH,Allen County,,,2,90.5,2583,80.2173913043478,2.32,9.4,46.2,52.1,96.0,1.5,0.9,0.0,0.0,0.0,1.6,0.8,11.2,39.5,49.3,23618.0,9.4,0,0
39003011800,OH,Allen County,40.723007,-84.14898,1,98.0,2524,664.210526315789,2.45,1.4,45.4,45.8,85.0,9.3,0.0,2.1,0.0,0.3,3.2,2.2,8.4,26.7,64.9,31297.0,6.1,3,1.18858954041204
39003011900,OH,Allen County,40.68685245,-84.1394532,1,96.4,3000,370.37037037037,2.35,9.8,44.9,47.2,92.0,0.5,0.1,0.1,0.0,0.1,7.2,0.1,8.8,40.5,50.7,30889.0,15.1,2,0.666666666666667
39003012000,OH,Allen County,,,1,98.9,2373,878.888888888889,2.47,0.5,49.3,48.1,95.1,2.4,0.2,1.7,0.0,0.0,0.6,0.8,2.0,29.4,68.6,38284.0,2.1,0,0
39003012100,OH,Allen County,,,1,90.9,3511,258.161764705882,2.8,6.2,45.9,47.5,86.1,7.6,0.0,3.8,0.0,0.8,1.7,0.5,6.0,28.9,65.1,32121.0,8.6,0,0
39003012200,OH,Allen County,,,1,93.6,3652,4565.0,2.64,8.0,28.1,44.3,64.4,25.4,0.0,1.3,0.0,0.4,8.5,1.6,17.0,33.9,49.0,21798.0,19.8,0,0
39003012300,OH,Allen County,40.757946,-84.10856,1,84.9,3808,4760.0,2.55,7.6,35.3,51.0,85.2,10.9,0.3,1.4,0.0,0.2,2.0,5.0,12.5,41.2,46.3,21186.0,27.0,4,1.05042016806723
39003012400,OH,Allen County,,,1,89.6,2571,3213.75,2.59,12.2,25.4,44.1,76.5,18.2,0.2,0.0,0.0,0.9,4.2,1.9,18.8,39.9,41.4,18096.0,25.4,0,0
39003012600,OH,Allen County,40.7349777,-84.08658545,1,82.4,1892,2365.0,2.41,13.0,33.2,49.2,79.3,13.2,0.0,0.0,0.0,0.8,6.8,6.2,17.8,52.6,29.7,18329.0,21.0,4,2.11416490486258
39003012700,OH,Allen County,,,1,86.2,1860,4650.0,2.96,16.2,29.9,51.1,59.6,32.7,0.0,0.0,0.0,0.0,7.6,0.0,26.3,35.6,38.1,10685.0,56.4,0,0
39003012900,OH,Allen County,40.7417995454546,-84.1170718545454,1,82.4,1534,5113.33333333333,2.63,10.2,31.0,50.7,63.8,26.7,0.5,0.7,0.0,2.9,5.5,2.9,14.9,38.0,47.1,15318.0,39.6,11,7.17079530638853
39003013000,OH,Allen County,40.748303,-84.1383111666667,1,89.1,4346,4346.0,2.31,14.5,33.7,48.1,80.2,13.3,0.3,2.7,0.0,0.1,3.4,4.6,9.7,46.0,44.3,21711.0,19.4,6,1.38057984353428
39003013100,OH,Allen County,,,1,91.9,2302,3836.66666666667,2.12,6.0,39.7,52.4,86.6,9.8,0.0,0.0,0.0,0.0,3.6,10.5,4.7,32.9,62.4,31903.0,12.4,0,0
