tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
49001100100,49.49,96.14,15.01,65.95,6.26,36.62,57.55,6.26,14.49,85.85,41.42,22.73,85.68,12.44,25.30,50.51,82.76,26.33,66.64
49001100200,62.18,97.00,9.86,63.38,4.03,47.60,37.14,1.46,16.38,71.96,74.36,5.75,99.40,28.56,95.63,18.44,77.79,48.46,30.62
49003960100,37.31,89.45,18.78,27.70,12.78,11.06,33.36,28.73,4.20,50.34,61.32,0.09,99.91,45.03,99.57,89.79,91.85,81.39,44.85
49003960200,38.85,87.39,46.05,26.84,78.13,4.37,32.50,61.66,10.38,12.44,40.05,0.43,98.54,50.69,94.43,20.15,82.59,42.80,12.61
49003960300,69.55,85.51,73.50,57.20,61.32,3.86,33.88,42.80,4.03,7.98,31.13,0.94,99.06,69.73,90.48,12.44,88.08,96.83,18.10
49003960400,23.07,74.53,35.76,18.10,22.04,23.58,40.22,80.02,53.95,20.84,9.01,4.20,66.98,28.39,84.13,92.71,64.75,10.55,92.54
49003960500,42.80,65.95,41.08,25.99,24.61,29.25,55.15,81.22,43.31,88.25,3.17,1.63,19.64,28.04,58.75,69.38,18.95,31.65,81.56
49003960601,67.50,70.41,20.15,53.77,39.54,9.01,47.94,98.89,74.01,12.78,82.25,6.26,25.99,5.23,64.75,37.65,78.13,78.47,27.53
49003960602,16.72,60.63,28.73,18.44,52.92,65.09,81.22,85.68,60.46,51.89,3.86,11.23,40.57,94.08,75.04,45.54,54.80,37.82,93.40
49003960701,61.84,69.73,70.75,73.50,17.75,42.80,96.31,96.31,24.79,19.81,28.56,4.37,52.74,16.21,40.39,11.75,78.30,59.78,13.98
49003960702,63.04,78.99,42.62,76.42,63.04,17.58,58.58,93.74,72.98,13.98,5.75,2.49,51.89,36.79,52.23,68.35,32.85,7.29,96.31
49003960801,36.79,72.47,45.71,33.19,38.34,72.81,79.50,93.91,23.58,32.85,9.52,10.38,31.82,57.72,68.52,86.88,35.76,19.30,58.75
49003960802,9.86,39.54,53.95,27.53,41.60,46.57,54.46,60.46,52.06,56.35,8.49,13.81,43.83,80.53,76.93,82.08,28.22,57.20,75.21
49005000101,43.65,74.19,65.95,39.37,51.20,12.78,64.07,86.36,22.38,27.70,6.78,8.49,37.65,39.54,94.60,75.90,70.75,44.85,87.22
49005000102,52.23,76.07,68.52,27.36,22.56,8.32,64.58,83.96,32.50,23.76,5.92,2.14,48.46,57.38,81.05,65.09,77.10,28.39,38.34
49005000201,39.88,60.98,79.16,41.42,29.76,44.17,87.56,94.94,10.03,16.38,11.23,16.90,63.89,41.60,47.26,70.93,86.88,34.05,44.00
49005000202,21.87,45.71,88.94,50.69,65.61,41.42,59.61,84.82,20.33,31.82,7.98,18.44,62.52,20.15,71.96,48.28,80.36,95.97,47.43
49005000300,64.24,53.60,87.39,45.03,20.33,7.80,42.97,76.76,27.70,73.67,4.37,9.35,43.14,90.14,68.70,35.93,79.16,33.02,41.94
49005000401,60.46,36.11,75.73,86.71,69.55,37.14,84.48,87.74,6.43,23.07,3.34,23.24,72.64,17.07,49.14,46.23,68.18,96.31,79.85
49005000402,11.58,38.68,51.03,41.60,83.45,13.81,8.83,71.44,68.52,13.46,13.46,32.85,13.81,49.66,99.06,79.33,24.27,81.05,23.07
49005000403,28.90,21.70,91.17,56.00,65.27,20.84,19.81,56.69,17.75,67.67,12.95,10.03,36.96,70.93,82.59,28.39,82.25,77.96,74.53
49005000501,83.96,19.47,57.38,67.50,60.63,15.69,80.70,50.34,41.94,34.22,4.20,11.58,76.24,59.09,17.92,11.23,83.62,88.77,94.43
49005000502,78.99,8.83,63.89,77.62,77.96,20.67,43.31,22.21,10.55,84.65,2.14,31.65,66.47,42.11,80.19,89.11,5.57,7.98,34.22
49005000600,86.36,16.90,64.75,97.51,84.99,17.92,85.68,90.48,5.92,71.27,17.07,17.41,76.76,96.48,52.06,88.42,95.80,98.54,89.62
49005000701,24.10,32.68,48.63,85.33,86.02,24.79,51.20,86.71,24.44,9.01,8.32,23.76,31.48,12.95,96.48,8.15,69.38,81.73,19.64
49005000702,85.51,11.23,48.97,99.06,96.48,34.73,23.07,88.94,1.97,0.43,1.97,49.49,83.45,86.02,97.68,40.05,76.24,63.55,48.97
49005000800,76.07,22.56,52.40,98.20,88.25,4.20,83.79,51.89,36.28,69.90,1.63,19.81,63.38,72.98,88.42,95.11,21.01,62.01,55.66
49005000900,74.01,3.69,53.09,93.57,91.51,90.48,94.25,34.39,1.29,3.00,3.52,8.83,59.61,3.86,35.59,52.74,48.28,92.37,13.12
49005001001,83.62,2.83,69.38,11.41,80.02,50.17,15.69,4.37,30.10,18.10,10.21,18.78,41.94,22.04,92.71,4.72,43.48,46.05,70.93
49005001002,77.79,22.04,63.55,58.58,60.98,10.38,60.98,29.42,53.60,62.52,0.94,29.42,68.01,71.44,64.24,9.86,76.42,89.11,84.65
49005001101,42.28,28.39,65.78,48.28,53.09,31.13,78.64,55.66,35.08,51.37,4.03,23.58,38.16,45.20,84.99,11.41,85.68,90.14,56.52
49005001102,9.35,20.33,41.25,43.31,76.93,53.77,77.27,66.98,35.42,55.32,6.95,18.95,25.13,81.73,92.20,37.82,73.33,85.33,47.60
49005001201,13.29,49.83,75.56,20.50,49.31,27.70,50.69,59.43,59.09,70.41,12.61,12.44,18.44,81.05,92.37,82.42,39.71,63.38,84.48
49005001202,25.30,30.79,97.68,36.28,31.99,47.43,42.28,79.50,16.90,67.32,28.22,44.68,91.17,68.87,74.53,51.03,31.30,36.62,63.55
49005001300,12.09,43.14,76.42,25.47,40.74,17.07,22.90,67.67,45.54,83.45,10.89,5.23,38.51,71.96,63.04,64.41,74.36,46.23,84.31
49005001401,56.35,43.48,91.85,29.42,51.03,10.72,9.18,82.76,36.45,85.16,27.19,20.67,59.43,66.47,66.47,46.05,72.30,43.83,81.73
49005001402,64.58,54.12,96.14,29.25,12.61,11.23,62.35,39.88,41.42,66.30,3.69,30.62,58.58,89.11,82.76,60.29,74.53,0.77,14.67
49005001500,20.84,77.62,54.12,32.50,54.80,24.96,46.40,97.68,32.85,8.15,43.65,20.15,65.44,45.37,75.73,34.05,84.65,66.30,58.06
49005980100,44.00,78.13,90.65,31.65,5.57,99.40,99.91,99.74,0.43,98.54,3.00,68.70,21.01,0.09,97.00,99.91,6.26,67.15,88.25
49007000100,58.58,88.94,55.49,36.45,89.62,6.78,63.55,50.51,30.96,27.19,48.97,92.71,8.49,35.93,6.43,7.80,54.29,24.79,21.36
49007000200,66.47,90.82,24.27,53.95,91.68,12.61,73.16,87.56,18.78,5.23,67.67,89.62,13.29,33.19,2.14,29.76,13.81,92.54,28.22
49007000300,82.25,88.08,34.91,85.68,93.40,15.01,76.76,94.60,3.00,67.50,77.44,91.17,40.39,57.20,0.43,31.13,7.80,72.81,51.37
49007000500,36.28,86.19,5.75,9.69,88.42,37.99,84.99,62.52,18.10,74.01,56.35,70.58,3.86,89.79,5.06,6.09,38.34,35.08,17.75
49007000600,52.92,89.79,7.12,32.16,95.63,4.89,98.03,37.31,53.26,36.79,84.65,63.04,0.43,87.05,11.92,58.06,8.15,48.80,32.16
49009960100,21.36,96.48,6.95,0.43,99.40,0.26,70.24,12.44,20.15,14.67,95.63,13.98,0.77,95.97,91.68,15.01,44.00,4.37,93.05
49011125102,3.00,52.74,49.31,38.51,63.21,64.07,27.70,88.42,34.73,21.36,52.23,29.25,15.18,93.40,86.88,27.70,65.78,77.62,36.11
